GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
 "55000" ,"Wisconsin",3,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",166810412,171173593,175869838,183912501,190527609,202454049,211886571,219514508,215913287,221895293,234574850,245700352,247127445,257572422,268237980,273787486,283635828
 "55000" ,"Wisconsin",3,CAINC1,2,"...","Population (persons) 1/","Number of persons",5406835,5445162,5479203,5514026,5546166,5577655,5610775,5640996,5669264,5690403,5705812,5721075,5736673,5751272,5759744,5772917,5795483
 "55000" ,"Wisconsin",3,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",30852,31436,32098,33354,34353,36297,37764,38914,38085,38995,41112,42947,43079,44785,46571,47426,48941
 "55001" ,"Adams, WI",3,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",458635,477417,490272,504217,526334,551246,569957,584851,598851,610958,647126,672207,677315,690438,717115,723620,753940
 "55001" ,"Adams, WI",3,CAINC1,2,"...","Population (persons) 1/","Number of persons",20337,20578,20644,20774,21211,21185,21156,21101,20930,20886,20778,20426,20419,20135,20032,19997,19973
 "55001" ,"Adams, WI",3,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",22552,23200,23749,24272,24814,26021,26941,27717,28612,29252,31145,32909,33171,34290,35798,36186,37748
 "55003" ,"Ashland, WI",3,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",398039,400284,408973,432975,441631,456876,454251,475271,490360,497796,519806,542692,551531,564700,580997,589597,614118
 "55003" ,"Ashland, WI",3,CAINC1,2,"...","Population (persons) 1/","Number of persons",16773,16747,16647,16547,16407,16408,16199,16145,16128,16143,16025,15840,15967,15990,15805,15634,15500
 "55003" ,"Ashland, WI",3,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",23731,23902,24567,26166,26917,27845,28042,29438,30404,30837,32437,34261,34542,35316,36760,37712,39621
 "55005" ,"Barron, WI",3,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",1203129,1216213,1254171,1295477,1343154,1421683,1521360,1574473,1624282,1638286,1759599,1922776,1847074,1939975,2024594,2008952,2091229
 "55005" ,"Barron, WI",3,CAINC1,2,"...","Population (persons) 1/","Number of persons",45225,45515,45601,45804,45808,45968,45874,46009,45876,45812,45879,45765,45568,45334,45368,45267,45251
 "55005" ,"Barron, WI",3,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",26603,26721,27503,28283,29321,30928,33164,34221,35406,35761,38353,42014,40534,42793,44626,44380,46214
 "55007" ,"Bayfield, WI",3,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",369909,377705,395086,418430,436029,462293,498189,515239,538672,539964,558581,601934,595316,617359,633028,649440,681937
 "55007" ,"Bayfield, WI",3,CAINC1,2,"...","Population (persons) 1/","Number of persons",15076,15128,15165,15164,15163,15172,15255,15160,14981,15006,15064,15062,15118,14974,14980,14940,15008
 "55007" ,"Bayfield, WI",3,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",24536,24967,26052,27594,28756,30470,32657,33987,35957,35983,37081,39964,39378,41229,42258,43470,45438
 "55009" ,"Brown, WI",3,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",7148618,7461624,7750814,8132248,8407655,8933237,9364109,9796760,9637254,10021452,10562985,11243567,11338831,11834034,12334107,12524162,13002379
 "55009" ,"Brown, WI",3,CAINC1,2,"...","Population (persons) 1/","Number of persons",229332,231821,233878,236654,238587,240191,242691,244016,246476,248476,250525,252761,254264,256243,257875,259586,262052
 "55009" ,"Brown, WI",3,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",31171,32187,33140,34363,35239,37192,38584,40148,39100,40332,42163,44483,44595,46183,47830,48247,49618
 "55011" ,"Buffalo, WI",3,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",406028,406481,416661,450209,445588,461317,500825,489283,483346,490728,514049,532034,519350,536545,561415,551194,569122
 "55011" ,"Buffalo, WI",3,CAINC1,2,"...","Population (persons) 1/","Number of persons",13855,13777,13807,13785,13969,13908,13885,13734,13618,13550,13443,13346,13374,13247,13265,13160,13167
 "55011" ,"Buffalo, WI",3,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",29306,29504,30178,32659,31898,33169,36069,35626,35493,36216,38239,39865,38833,40503,42323,41884,43223
 "55013" ,"Burnett, WI",3,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",370300,375861,390379,411131,418633,432369,449073,469887,473081,502464,529306,544725,554541,568945,595368,601542,625963
 "55013" ,"Burnett, WI",3,CAINC1,2,"...","Population (persons) 1/","Number of persons",15797,15906,16063,16180,16143,16056,15965,15696,15609,15429,15461,15335,15260,15223,15130,15229,15352
 "55013" ,"Burnett, WI",3,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",23441,23630,24303,25410,25933,26929,28129,29937,30308,32566,34235,35522,36340,37374,39350,39500,40774
 "55015" ,"Calumet, WI",3,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",1230126,1272593,1319691,1403732,1468705,1516755,1679014,1748997,1783579,1829164,1982844,2042814,2071074,2198704,2256924,2321806,2399215
 "55015" ,"Calumet, WI",3,CAINC1,2,"...","Population (persons) 1/","Number of persons",41950,43411,44660,45456,46185,46809,47188,48014,48457,49028,49617,49649,49648,49489,49834,49648,50067
 "55015" ,"Calumet, WI",3,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",29324,29315,29550,30881,31800,32403,35581,36427,36807,37309,39963,41145,41715,44428,45289,46765,47920
 "55017" ,"Chippewa, WI",3,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",1542494,1601087,1657476,1710201,1757237,1884426,2040395,2128363,2090810,2205959,2367802,2490101,2486933,2612988,2657626,2680192,2780521
 "55017" ,"Chippewa, WI",3,CAINC1,2,"...","Population (persons) 1/","Number of persons",55820,56353,57184,58801,59802,60271,61022,61524,61997,62640,62945,63052,63087,63337,63423,63567,63813
 "55017" ,"Chippewa, WI",3,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",27633,28412,28985,29085,29384,31266,33437,34594,33724,35216,37617,39493,39421,41255,41903,42163,43573
 "55019" ,"Clark, WI",3,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",761759,776090,817149,842554,850708,854949,917659,954054,944623,1004826,1092330,1169011,1185399,1288726,1290189,1288922,1335072
 "55019" ,"Clark, WI",3,CAINC1,2,"...","Population (persons) 1/","Number of persons",33763,33851,34066,34234,34334,34399,34435,34644,34589,34683,34693,34453,34555,34384,34390,34558,34679
 "55019" ,"Clark, WI",3,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",22562,22927,23987,24612,24777,24854,26649,27539,27310,28972,31486,33931,34305,37480,37516,37297,38498
 "55021" ,"Columbia, WI",3,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",1641862,1705856,1780268,1834666,1890093,2063522,2146688,2174402,2110177,2175131,2363747,2426925,2502585,2572680,2609466,2675735,2761575
 "55021" ,"Columbia, WI",3,CAINC1,2,"...","Population (persons) 1/","Number of persons",53167,53488,54168,55048,55409,55820,56197,56362,56469,56824,56680,56446,56549,56615,56646,56893,57248
 "55021" ,"Columbia, WI",3,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",30881,31892,32866,33328,34112,36967,38199,38579,37369,38278,41703,42996,44255,45442,46066,47031,48239
 "55023" ,"Crawford, WI",3,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",381197,384790,396587,422210,432622,443117,464110,481536,486214,517108,547248,561369,583522,609991,627317,633878,652652
 "55023" ,"Crawford, WI",3,CAINC1,2,"...","Population (persons) 1/","Number of persons",17020,16984,16891,17007,16895,16953,16924,16808,16692,16633,16678,16516,16391,16350,16328,16280,16214
 "55023" ,"Crawford, WI",3,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",22397,22656,23479,24826,25607,26138,27423,28649,29129,31089,32813,33989,35600,37308,38420,38936,40252
 "55025" ,"Dane, WI",3,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",16064337,16690421,17286738,18069649,18863292,20154698,21081574,21634546,21310648,21891032,23514235,24714647,25619994,26830381,28641403,29845926,31165828
 "55025" ,"Dane, WI",3,CAINC1,2,"...","Population (persons) 1/","Number of persons",434745,441623,447515,453327,459048,465018,471644,477791,484979,489207,496135,503135,509542,515898,522074,530257,536416
