GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
 "56000" ,"Wyoming",7,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",15320219,15724542,16668843,17806977,19574481,22574908,24018505,26333754,24346798,25967136,28426349,30952483,30911890,33019911,33514584,32434582,33221417
 "56000" ,"Wyoming",7,CAINC1,2,"...","Population (persons) 1/","Number of persons",494657,500017,503453,509106,514157,522667,534876,546043,559851,564376,567602,576608,582341,583334,586102,584910,579315
 "56000" ,"Wyoming",7,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",30971,31448,33109,34977,38071,43192,44905,48227,43488,46010,50081,53680,53082,56605,57182,55452,57346
 "56001" ,"Albany, WY",7,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",840087,890085,950866,960249,967708,1015739,1063382,1170459,1172775,1249041,1386124,1446531,1441714,1473819,1518128,1513593,1544808
 "56001" ,"Albany, WY",7,CAINC1,2,"...","Population (persons) 1/","Number of persons",32419,32675,33098,33580,33631,33950,33858,34643,35743,36433,36883,37332,37573,37793,38036,37987,38332
 "56001" ,"Albany, WY",7,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",25913,27241,28729,28596,28774,29919,31407,33786,32811,34283,37582,38748,38371,38997,39913,39845,40301
 "56003" ,"Big Horn, WY",7,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",267103,261835,276828,273204,299865,332586,318580,358367,356759,375917,407878,421668,423781,441696,442441,421870,427279
 "56003" ,"Big Horn, WY",7,CAINC1,2,"...","Population (persons) 1/","Number of persons",11209,11157,11073,11231,11193,11222,11350,11419,11541,11667,11726,11765,11939,11859,11956,11941,11906
 "56003" ,"Big Horn, WY",7,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",23829,23468,25000,24326,26790,29637,28069,31383,30912,32221,34784,35841,35496,37246,37006,35330,35888
 "56005" ,"Campbell, WY",7,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",1122420,1138973,1162138,1237914,1419780,1704417,1822910,2125621,2025758,2334683,2668605,2671365,2537557,2728967,2608984,2301109,2258535
 "56005" ,"Campbell, WY",7,CAINC1,2,"...","Population (persons) 1/","Number of persons",34699,36193,36586,36907,37888,39497,41651,42846,45650,46233,46560,47861,48051,48192,49293,48800,46242
 "56005" ,"Campbell, WY",7,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",32347,31469,31765,33541,37473,43153,43766,49611,44376,50498,57315,55815,52810,56627,52928,47154,48842
 "56007" ,"Carbon, WY",7,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",396495,403459,428674,451020,501131,563397,613907,674177,594879,619471,702323,742371,764479,812539,808055,797336,804558
 "56007" ,"Carbon, WY",7,CAINC1,2,"...","Population (persons) 1/","Number of persons",15217,15256,15240,15236,15077,15136,15494,15658,15977,15849,15848,15732,15861,15907,15645,15727,15303
 "56007" ,"Carbon, WY",7,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",26056,26446,28128,29602,33238,37222,39622,43056,37233,39086,44316,47189,48199,51081,51649,50699,52575
