GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
 "00000" ,"United States", ,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",9001839000,9155663000,9480901000,10028781000,10593946000,11372589000,12002204000,12438527000,12051307000,12541995000,13315478000,13998383000,14175503000,14983140000,15711634000,16115630000,16820250000
 "00000" ,"United States", ,CAINC1,2,"...","Population (persons) 1/","Number of persons",284968955,287625193,290107933,292805298,295516599,298379912,301231207,304093966,306771529,309338421,311644280,313993272,316234505,318622525,321039839,323405935,325719178
 "00000" ,"United States", ,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",31589,31832,32681,34251,35849,38114,39844,40904,39284,40545,42727,44582,44826,47025,48940,49831,51640
 "01000" ,"Alabama",5,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",112312142,115166086,120209889,128669896,136215282,144914255,152210645,157479528,155254669,161965527,167675590,172427855,174118716,180220290,187301605,190991192,198916425
 "01000" ,"Alabama",5,CAINC1,2,"...","Population (persons) 1/","Number of persons",4467634,4480089,4503491,4530729,4569805,4628981,4672840,4718206,4757938,4785579,4798649,4813946,4827660,4840037,4850858,4860545,4874747
 "01000" ,"Alabama",5,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",25139,25706,26693,28399,29808,31306,32573,33377,32631,33844,34942,35818,36067,37235,38612,39294,40805
 "01001" ,"Autauga, AL",5,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",1107934,1147312,1231720,1331739,1428996,1527411,1648607,1751550,1764978,1829458,1894696,1924646,1939719,2012244,2116276,2183987,2247046
 "01001" ,"Autauga, AL",5,CAINC1,2,"...","Population (persons) 1/","Number of persons",44889,45909,46800,48366,49676,51328,52405,53277,54135,54750,55199,54927,54695,54864,54838,55278,55504
 "01001" ,"Autauga, AL",5,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",24682,24991,26319,27535,28766,29758,31459,32876,32603,33415,34325,35040,35464,36677,38591,39509,40484
 "01003" ,"Baldwin, AL",5,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",3928935,4054363,4249802,4740854,5237162,5847880,6215336,6286039,6224967,6643563,7051666,7253460,7441318,7875234,8400864,8923673,9372465
 "01003" ,"Baldwin, AL",5,CAINC1,2,"...","Population (persons) 1/","Number of persons",144875,147957,151509,156266,162183,168121,172404,175827,179406,183110,186534,190048,194736,199064,202863,207509,212628
 "01003" ,"Baldwin, AL",5,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",27119,27402,28050,30338,32292,34784,36051,35751,34698,36282,37804,38166,38212,39561,41412,43004,44079
 "01005" ,"Barbour, AL",5,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",582221,581095,597715,645650,668851,688953,708830,714058,721519,760771,768718,764828,809476,800883,827557,818333,845349
 "01005" ,"Barbour, AL",5,CAINC1,2,"...","Population (persons) 1/","Number of persons",28863,28653,28594,28287,28027,27861,27757,27808,27657,27332,27351,27175,26947,26749,26264,25774,25270
 "01005" ,"Barbour, AL",5,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",20172,20280,20904,22825,23865,24728,25537,25678,26088,27834,28106,28145,30040,29941,31509,31750,33453
 "01007" ,"Bibb, AL",5,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",378056,395953,420701,456130,471142,502442,540644,567239,545746,573892,590755,612395,617036,636539,655342,656112,680543
 "01007" ,"Bibb, AL",5,CAINC1,2,"...","Population (persons) 1/","Number of persons",21028,21199,21399,21721,22042,22099,22438,22705,22941,22872,22745,22658,22503,22533,22561,22633,22668
 "01007" ,"Bibb, AL",5,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",17979,18678,19660,20999,21375,22736,24095,24983,23789,25091,25973,27028,27420,28249,29048,28989,30022
 "01009" ,"Blount, AL",5,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",1106341,1119568,1194966,1274253,1331674,1375313,1493115,1578207,1570082,1592535,1632900,1704785,1739496,1804587,1842131,1857001,1955420
 "01009" ,"Blount, AL",5,CAINC1,2,"...","Population (persons) 1/","Number of persons",51845,52551,53457,54124,54624,55485,56240,57055,57341,57381,57562,57595,57623,57546,57590,57562,58013
 "01009" ,"Blount, AL",5,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",21339,21304,22354,23543,24379,24787,26549,27661,27381,27754,28368,29600,30188,31359,31987,32261,33707
 "01011" ,"Bullock, AL",5,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",193337,199859,202414,202800,203463,217804,230971,252563,261215,255453,257394,267122,275598,267385,273206,276162,283496
 "01011" ,"Bullock, AL",5,CAINC1,2,"...","Population (persons) 1/","Number of persons",11358,11256,11316,11056,11011,10776,11011,10953,10987,10880,10675,10612,10549,10673,10419,10441,10309
 "01011" ,"Bullock, AL",5,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",17022,17756,17887,18343,18478,20212,20976,23059,23775,23479,24112,25172,26126,25052,26222,26450,27500
 "01013" ,"Butler, AL",5,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",448406,457942,473909,496685,510244,523199,564252,580240,570974,598044,601853,621686,641102,667375,678761,676573,697770
 "01013" ,"Butler, AL",5,CAINC1,2,"...","Population (persons) 1/","Number of persons",21139,20803,20833,20870,20830,20815,20894,20949,20867,20944,20880,20688,20372,20327,20141,19965,19825
 "01013" ,"Butler, AL",5,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",21212,22013,22748,23799,24496,25136,27005,27698,27363,28554,28824,30051,31470,32832,33700,33888,35196
 "01015" ,"Calhoun, AL",5,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",2585157,2695935,2834944,3012640,3141469,3292546,3494723,3621797,3575446,3669749,3754285,3791206,3729885,3836182,3948903,4009249,4159490
 "01015" ,"Calhoun, AL",5,CAINC1,2,"...","Population (persons) 1/","Number of persons",111266,111625,112705,113462,114477,115388,116211,117274,118363,118466,117785,117219,116482,115941,115505,114980,114728
