GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
 "05000" ,"Arkansas",5,CAINC30,10,"...","Personal income (thousands of dollars)","Thousands of dollars",64374920,65878184,69721985,74158872,78138502,83020846,88484857,91798185,90242461,93103196,99328677,106536954,106429638,112619155,116248596,118769649,123313411
 "05000" ,"Arkansas",5,CAINC30,45,"..."," Net earnings by place of residence","Thousands of dollars",41054132,41940281,44948740,47960497,49491535,51270266,53330102,53254289,51862804,53443110,56322268,59548433,61139042,62554186,62997046,63971062,66463898
 "05000" ,"Arkansas",5,CAINC30,50,"..."," Personal current transfer receipts","Thousands of dollars",11909962,12825390,13390827,14349963,15395313,16809988,18176237,20266671,21996633,23612364,24087339,24336622,24757473,26240281,27416485,28453080,29062178
 "05000" ,"Arkansas",5,CAINC30,60,"...","  Income maintenance benefits 1/","Thousands of dollars",1137195,1262107,1381583,1492119,1637499,1697978,1797705,1873219,2234075,2469826,2532356,2587064,2636025,2629511,2632663,2569802,2496933
 "05000" ,"Arkansas",5,CAINC30,70,"...","  Unemployment insurance compensation","Thousands of dollars",310772,404094,406247,295784,271701,280244,328765,462037,1054811,940351,705541,606696,474305,280147,269977,199235,157797
 "05000" ,"Arkansas",5,CAINC30,80,"...","  Retirement and other","Thousands of dollars",10461995,11159189,11602997,12562060,13486113,14831766,16049767,17931415,18707747,20202187,20849442,21142862,21647143,23330623,24513845,25684043,26407448
 "05000" ,"Arkansas",5,CAINC30,90,"..."," Dividends, interest, and rent 2/","Thousands of dollars",11410826,11112513,11382418,11848412,13251654,14940592,16978518,18277225,16383024,16047722,18919070,22651899,20533123,23824688,25835065,26345507,27787335
 "05000" ,"Arkansas",5,CAINC30,100,"..."," Population (persons) 3/","Number of persons",2691571,2705927,2724816,2749686,2781097,2821761,2848650,2874554,2896843,2921737,2938640,2949208,2956780,2964800,2975626,2988231,3004279
 "05000" ,"Arkansas",5,CAINC30,110,"..."," Per capita personal income 4/","Dollars",23917,24346,25588,26970,28096,29422,31062,31935,31152,31866,33801,36124,35995,37985,39067,39746,41046
 "05000" ,"Arkansas",5,CAINC30,120,"..."," Per capita net earnings 4/","Dollars",15253,15499,16496,17442,17796,18170,18721,18526,17903,18292,19166,20191,20678,21099,21171,21408,22123
 "05000" ,"Arkansas",5,CAINC30,130,"..."," Per capita personal current transfer receipts 4/","Dollars",4425,4740,4914,5219,5536,5957,6381,7050,7593,8082,8197,8252,8373,8851,9214,9522,9674
 "05000" ,"Arkansas",5,CAINC30,140,"...","  Per capita income maintenance benefits 4/","Dollars",423,466,507,543,589,602,631,652,771,845,862,877,892,887,885,860,831
 "05000" ,"Arkansas",5,CAINC30,150,"...","  Per capita unemployment insurance compensation 4/","Dollars",115,149,149,108,98,99,115,161,364,322,240,206,160,94,91,67,53
 "05000" ,"Arkansas",5,CAINC30,160,"...","  Per capita retirement and other 4/","Dollars",3887,4124,4258,4569,4849,5256,5634,6238,6458,6914,7095,7169,7321,7869,8238,8595,8790
 "05000" ,"Arkansas",5,CAINC30,170,"..."," Per capita dividends, interest, and rent 4/","Dollars",4239,4107,4177,4309,4765,5295,5960,6358,5655,5493,6438,7681,6944,8036,8682,8816,9249
 "05000" ,"Arkansas",5,CAINC30,180,"..."," Earnings by place of work","Thousands of dollars",46778228,47829825,51019258,54284814,56136212,58335588,60613111,60786520,59375526,61175364,63550678,66962562,69617565,71380492,72103139,73128747,75942869
 "05000" ,"Arkansas",5,CAINC30,190,"...","  Wages and salaries","Thousands of dollars",32970649,33873394,35118617,37224027,39076554,41363015,43531570,44463825,44017724,44757777,46289381,47879652,48798769,50460522,52406186,53861461,55940608
 "05000" ,"Arkansas",5,CAINC30,200,"...","  Supplements to wages and salaries","Thousands of dollars",7449863,7818051,8399352,8874038,9438367,9742055,10102784,10318480,10260866,10504281,10607763,11313578,11734817,12100927,12022422,12283395,12701550
