GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
 "06000" ,"California",8,CAINC30,10,"...","Personal income (thousands of dollars)","Thousands of dollars",1175177709,1193779435,1249800288,1329225078,1408965257,1517898234,1583029762,1606764505,1554229664,1627839016,1738413111,1853467228,1885672430,2021640034,2173299670,2259413865,2364129404
 "06000" ,"California",8,CAINC30,45,"..."," Net earnings by place of residence","Thousands of dollars",819535501,833882649,870019083,928196605,972768197,1032533778,1065406358,1053099188,1014005928,1062829603,1132825129,1205132769,1233349329,1300693660,1384335378,1439134408,1524304790
 "06000" ,"California",8,CAINC30,50,"..."," Personal current transfer receipts","Thousands of dollars",135684664,146045078,154242369,161451803,169300669,181853277,192795018,218067133,241051110,266907132,268503844,271100586,282010536,299637659,323721948,335046016,331431810
 "06000" ,"California",8,CAINC30,60,"...","  Income maintenance benefits 1/","Thousands of dollars",19350298,20623092,21899053,23161122,24619356,25486467,26462485,27660375,30778109,32907823,34168653,34481584,35327990,35453173,36042121,34801071,34080941
 "06000" ,"California",8,CAINC30,70,"...","  Unemployment insurance compensation","Thousands of dollars",3467115,7194766,7290038,5216005,4525400,4358565,5036130,7984025,19154032,22179960,17563901,13894286,10729645,6079455,5268016,5252236,5181279
 "06000" ,"California",8,CAINC30,80,"...","  Retirement and other","Thousands of dollars",112867251,118227220,125053278,133074676,140155913,152008245,161296403,182422733,191118969,211819349,216771290,222724716,235952901,258105031,282411811,294992709,292169590
 "06000" ,"California",8,CAINC30,90,"..."," Dividends, interest, and rent 2/","Thousands of dollars",219957544,213851708,225538836,239576670,266896391,303511179,324828386,335598184,299172626,298102281,337084138,377233873,370312565,421308715,465242344,485233441,508392804
 "06000" ,"California",8,CAINC30,100,"..."," Population (persons) 3/","Number of persons",34479458,34871843,35253159,35574576,35827943,36021202,36250311,36604337,36961229,37327690,37672654,38019006,38347383,38701278,39032444,39296476,39536653
 "06000" ,"California",8,CAINC30,110,"..."," Per capita personal income 4/","Dollars",34083,34233,35452,37364,39326,42139,43669,43895,42050,43609,46145,48751,49173,52237,55679,57497,59796
 "06000" ,"California",8,CAINC30,120,"..."," Per capita net earnings 4/","Dollars",23769,23913,24679,26092,27151,28665,29390,28770,27434,28473,30070,31698,32163,33609,35466,36622,38554
 "06000" ,"California",8,CAINC30,130,"..."," Per capita personal current transfer receipts 4/","Dollars",3935,4188,4375,4538,4725,5049,5318,5957,6522,7150,7127,7131,7354,7742,8294,8526,8383
 "06000" ,"California",8,CAINC30,140,"...","  Per capita income maintenance benefits 4/","Dollars",561,591,621,651,687,708,730,756,833,882,907,907,921,916,923,886,862
 "06000" ,"California",8,CAINC30,150,"...","  Per capita unemployment insurance compensation 4/","Dollars",101,206,207,147,126,121,139,218,518,594,466,365,280,157,135,134,131
 "06000" ,"California",8,CAINC30,160,"...","  Per capita retirement and other 4/","Dollars",3273,3390,3547,3741,3912,4220,4450,4984,5171,5675,5754,5858,6153,6669,7235,7507,7390
 "06000" ,"California",8,CAINC30,170,"..."," Per capita dividends, interest, and rent 4/","Dollars",6379,6133,6398,6734,7449,8426,8961,9168,8094,7986,8948,9922,9657,10886,11919,12348,12859
 "06000" ,"California",8,CAINC30,180,"..."," Earnings by place of work","Thousands of dollars",914764493,932151294,973505738,1041454068,1091292119,1154635171,1189611169,1179852814,1136583527,1186105720,1248829957,1325712700,1374135115,1449542346,1542217651,1603729437,1697321442
 "06000" ,"California",8,CAINC30,190,"...","  Wages and salaries","Thousands of dollars",648050300,645995464,666057746,705728192,742516053,791450278,834657416,843120597,798912393,813694377,847508892,903208798,933895158,991781991,1067152606,1115732478,1187475684
 "06000" ,"California",8,CAINC30,200,"...","  Supplements to wages and salaries","Thousands of dollars",138764200,147776917,161128451,176144281,184685846,189157767,195398609,198914480,190410879,195369480,210178538,211507409,227947954,237839398,251231254,257705977,268870721
 "06000" ,"California",8,CAINC30,201,"...","   Employer contributions for employee pension and insurance funds 5/","Thousands of dollars",93184964,100331886,110246988,119799349,126376786,130381074,136753639,140490343,134844795,139837904,151640003,149983274,164261895,170662650,179892906,183808864,191481269
 "06000" ,"California",8,CAINC30,202,"...","   Employer contributions for government social insurance","Thousands of dollars",45579236,47445031,50881463,56344932,58309060,58776693,58644970,58424137,55566084,55531576,58538535,61524135,63686059,67176748,71338348,73897113,77389452
 "06000" ,"California",8,CAINC30,210,"...","  Proprietors' income","Thousands of dollars",127949993,138378913,146319541,159581595,164090220,174027126,159555144,137817737,147260255,177041863,191142527,210996493,212292003,219920957,223833791,230290982,240975037
 "06000" ,"California",8,CAINC30,220,"...","   Farm proprietors' income","Thousands of dollars",3174570,3991872,5128827,6898494,6611623,4712955,7545253,5313632,6061065,6959542,9947965,11235762,13241344,15695624,14996871,12110699,14702405
 "06000" ,"California",8,CAINC30,230,"...","   Nonfarm proprietors' income","Thousands of dollars",124775423,134387041,141190714,152683101,157478597,169314171,152009891,132504105,141199190,170082321,181194562,199760731,199050659,204225333,208836920,218180283,226272632
 "06000" ,"California",8,CAINC30,240,"...","Total employment (number of jobs)","Number of jobs",19341458,19358164,19478671,19784145,20126877,20505187,20888396,20654292,19837628,19642444,19986021,20666908,21319995,21998371,22688560,23169071,23584800
 "06000" ,"California",8,CAINC30,250,"..."," Wage and salary employment","Number of jobs",15711829,15641543,15591389,15682676,15870028,16116466,16241789,16052090,15151262,14946231,15091751,15713601,16212158,16693308,17184799,17601469,17908517
 "06000" ,"California",8,CAINC30,260,"..."," Proprietors employment","Number of jobs",3629629,3716621,3887282,4101469,4256849,4388721,4646607,4602202,4686366,4696213,4894270,4953307,5107837,5305063,5503761,5567602,5676283
 "06000" ,"California",8,CAINC30,270,"...","  Farm proprietors employment 6/","Number of jobs",81105,76768,69670,66790,65734,63912,67493,66821,65844,65373,64615,63286,64457,64081,65251,64615,64937
 "06000" ,"California",8,CAINC30,280,"...","  Nonfarm proprietors employment","Number of jobs",3548524,3639853,3817612,4034679,4191115,4324809,4579114,4535381,4620522,4630840,4829655,4890021,5043380,5240982,5438510,5502987,5611346
 "06000" ,"California",8,CAINC30,290,"...","Average earnings per job (dollars)","Dollars",47296,48153,49978,52641,54221,56309,56951,57124,57294,60385,62485,64147,64453,65893,67973,69219,71967
 "06000" ,"California",8,CAINC30,300,"..."," Average wages and salaries","Dollars",41246,41300,42720,45000,46787,49108,51390,52524,52729,54441,56157,57479,57605,59412,62099,63389,66308
 "06000" ,"California",8,CAINC30,310,"..."," Average nonfarm proprietors' income","Dollars",35163,36921,36984,37843,37574,39150,33196,29216,30559,36728,37517,40851,39468,38967,38400,39648,40324
 "06001" ,"Alameda, CA",8,CAINC30,10,"...","Personal income (thousands of dollars)","Thousands of dollars",57937010,57428282,58602235,60674155,62902099,67751723,70450120,72298889,69426673,72821639,78521460,83005645,87659801,95056828,104464523,111354955,118554685
 "06001" ,"Alameda, CA",8,CAINC30,45,"..."," Net earnings by place of residence","Thousands of dollars",42992163,42117578,42434929,43911362,45256915,48270622,50239384,50093309,47816294,50263858,54267123,57371110,60723864,65280698,71927974,77317854,83839004
 "06001" ,"Alameda, CA",8,CAINC30,50,"..."," Personal current transfer receipts","Thousands of dollars",5677521,6183698,6478059,6720821,6981942,7483980,7900367,8908712,9946667,11035174,10992190,11026364,11539123,12221710,13264732,13714327,13445311
 "06001" ,"Alameda, CA",8,CAINC30,60,"...","  Income maintenance benefits 1/","Thousands of dollars",764888,795248,829312,881636,931132,997538,1027318,1061171,1156464,1188893,1224965,1242966,1264841,1245799,1249399,1190106,1163433
 "06001" ,"Alameda, CA",8,CAINC30,70,"...","  Unemployment insurance compensation","Thousands of dollars",139485,429062,412171,253580,209674,181132,181490,325527,899016,1012972,772283,582087,437656,232335,193898,193302,188582
 "06001" ,"Alameda, CA",8,CAINC30,80,"...","  Retirement and other","Thousands of dollars",4773148,4959388,5236576,5585605,5841136,6305310,6691559,7522014,7891187,8833309,8994942,9201311,9836626,10743576,11821435,12330919,12093296
 "06001" ,"Alameda, CA",8,CAINC30,90,"..."," Dividends, interest, and rent 2/","Thousands of dollars",9267326,9127006,9689247,10041972,10663242,11997121,12310369,13296868,11663712,11522607,13262147,14608171,15396814,17554420,19271817,20322774,21270370
 "06001" ,"Alameda, CA",8,CAINC30,100,"..."," Population (persons) 3/","Number of persons",1469484,1462106,1454163,1445721,1441545,1444484,1455715,1477208,1498539,1513402,1532215,1556648,1582936,1611572,1637141,1653236,1663190
 "06001" ,"Alameda, CA",8,CAINC30,110,"..."," Per capita personal income 4/","Dollars",39427,39278,40300,41968,43635,46904,48396,48943,46330,48118,51247,53323,55378,58984,63809,67356,71282
 "06001" ,"Alameda, CA",8,CAINC30,120,"..."," Per capita net earnings 4/","Dollars",29257,28806,29182,30373,31395,33417,34512,33911,31909,33212,35417,36856,38362,40507,43935,46768,50409
 "06001" ,"Alameda, CA",8,CAINC30,130,"..."," Per capita personal current transfer receipts 4/","Dollars",3864,4229,4455,4649,4843,5181,5427,6031,6638,7292,7174,7083,7290,7584,8102,8295,8084
 "06001" ,"Alameda, CA",8,CAINC30,140,"...","  Per capita income maintenance benefits 4/","Dollars",521,544,570,610,646,691,706,718,772,786,799,798,799,773,763,720,700
 "06001" ,"Alameda, CA",8,CAINC30,150,"...","  Per capita unemployment insurance compensation 4/","Dollars",95,293,283,175,145,125,125,220,600,669,504,374,276,144,118,117,113
 "06001" ,"Alameda, CA",8,CAINC30,160,"...","  Per capita retirement and other 4/","Dollars",3248,3392,3601,3864,4052,4365,4597,5092,5266,5837,5871,5911,6214,6667,7221,7459,7271
 "06001" ,"Alameda, CA",8,CAINC30,170,"..."," Per capita dividends, interest, and rent 4/","Dollars",6307,6242,6663,6946,7397,8305,8457,9001,7783,7614,8656,9384,9727,10893,11772,12293,12789
 "06001" ,"Alameda, CA",8,CAINC30,180,"..."," Earnings by place of work","Thousands of dollars",47307005,48077053,49510629,51614035,53334686,56406069,57985416,57863785,55304063,57638246,59933242,63666228,65950456,70317624,76904361,81148774,87187040
 "06001" ,"Alameda, CA",8,CAINC30,190,"...","  Wages and salaries","Thousands of dollars",34559258,34454037,35404855,36909178,38445151,40886782,42812905,43088156,40670872,41382036,42548714,45342884,46651625,49964610,54616711,57527977,61842684
 "06001" ,"Alameda, CA",8,CAINC30,200,"...","  Supplements to wages and salaries","Thousands of dollars",7378107,7830875,8516546,9177404,9517212,9624475,9798460,9761688,9294329,9538575,10181045,10350243,11204280,11720198,12595170,13029264,13744231
 "06001" ,"Alameda, CA",8,CAINC30,201,"...","   Employer contributions for employee pension and insurance funds 5/","Thousands of dollars",4865765,5269249,5784513,6199923,6480228,6603982,6791870,6756815,6457572,6697020,7217745,7204029,7950726,8271375,8875130,9151497,9630248
 "06001" ,"Alameda, CA",8,CAINC30,202,"...","   Employer contributions for government social insurance","Thousands of dollars",2512342,2561626,2732033,2977481,3036984,3020493,3006590,3004873,2836757,2841555,2963300,3146214,3253554,3448823,3720040,3877767,4113983
 "06001" ,"Alameda, CA",8,CAINC30,210,"...","  Proprietors' income","Thousands of dollars",5369640,5792141,5589228,5527453,5372323,5894812,5374051,5013941,5338862,6717635,7203483,7973101,8094551,8632816,9692480,10591533,11600125
 "06001" ,"Alameda, CA",8,CAINC30,220,"...","   Farm proprietors' income","Thousands of dollars",8548,5583,14890,14701,14141,12687,3755,11133,11892,13330,25512,34274,31813,35352,41697,40791,48722
 "06001" ,"Alameda, CA",8,CAINC30,230,"...","   Nonfarm proprietors' income","Thousands of dollars",5361092,5786558,5574338,5512752,5358182,5882125,5370296,5002808,5326970,6704305,7177971,7938827,8062738,8597464,9650783,10550742,11551403
 "06001" ,"Alameda, CA",8,CAINC30,240,"...","Total employment (number of jobs)","Number of jobs",887315,875474,878177,880210,885435,896623,910324,903624,864535,853954,865987,902625,933194,969935,1014191,1041484,1066435
 "06001" ,"Alameda, CA",8,CAINC30,250,"..."," Wage and salary employment","Number of jobs",740610,725714,719693,712328,713182,718931,721344,716163,673240,661573,666928,701982,725769,751534,784130,806456,826948
 "06001" ,"Alameda, CA",8,CAINC30,260,"..."," Proprietors employment","Number of jobs",146705,149760,158484,167882,172253,177692,188980,187461,191295,192381,199059,200643,207425,218401,230061,235028,239487
 "06001" ,"Alameda, CA",8,CAINC30,270,"...","  Farm proprietors employment 6/","Number of jobs",458,423,397,393,399,399,435,418,401,387,371,350,356,353,357,353,355
 "06001" ,"Alameda, CA",8,CAINC30,280,"...","  Nonfarm proprietors employment","Number of jobs",146247,149337,158087,167489,171854,177293,188545,187043,190894,191994,198688,200293,207069,218048,229704,234675,239132
 "06001" ,"Alameda, CA",8,CAINC30,290,"...","Average earnings per job (dollars)","Dollars",53315,54915,56379,58638,60236,62909,63698,64035,63970,67496,69208,70535,70672,72497,75828,77916,81756
 "06001" ,"Alameda, CA",8,CAINC30,300,"..."," Average wages and salaries","Dollars",46663,47476,49194,51815,53907,56872,59352,60165,60411,62551,63798,64593,64279,66483,69653,71334,74784
 "06001" ,"Alameda, CA",8,CAINC30,310,"..."," Average nonfarm proprietors' income","Dollars",36658,38748,35261,32914,31179,33177,28483,26747,27905,34919,36127,39636,38937,39429,42014,44959,48306
 "06003" ,"Alpine, CA",8,CAINC30,10,"...","Personal income (thousands of dollars)","Thousands of dollars",41395,42630,44357,42594,42330,42920,45802,46336,47295,49662,62358,66728,67205,73553,76225,78759,73554
 "06003" ,"Alpine, CA",8,CAINC30,45,"..."," Net earnings by place of residence","Thousands of dollars",28546,29377,29538,25716,25795,27145,29445,26874,25969,26908,35891,39183,37600,37571,40354,39410,33875
 "06003" ,"Alpine, CA",8,CAINC30,50,"..."," Personal current transfer receipts","Thousands of dollars",6141,6598,7200,7548,7848,7591,8158,9273,10294,11376,11426,11858,13112,13748,15272,15813,15043
 "06003" ,"Alpine, CA",8,CAINC30,60,"...","  Income maintenance benefits 1/","Thousands of dollars",689,754,895,880,863,930,942,1076,1433,1234,1202,1114,1187,1140,1117,1088,1061
 "06003" ,"Alpine, CA",8,CAINC30,70,"...","  Unemployment insurance compensation","Thousands of dollars",155,240,293,211,234,178,234,296,493,469,474,426,273,206,187,154,160
 "06003" ,"Alpine, CA",8,CAINC30,80,"...","  Retirement and other","Thousands of dollars",5297,5604,6012,6457,6751,6483,6982,7901,8368,9673,9750,10318,11652,12402,13968,14571,13822
 "06003" ,"Alpine, CA",8,CAINC30,90,"..."," Dividends, interest, and rent 2/","Thousands of dollars",6708,6655,7619,9330,8687,8184,8199,10189,11032,11378,15041,15687,16493,22234,20599,23536,24636
 "06003" ,"Alpine, CA",8,CAINC30,100,"..."," Population (persons) 3/","Number of persons",1196,1237,1233,1263,1219,1276,1274,1202,1197,1161,1093,1110,1127,1084,1088,1057,1120
 "06003" ,"Alpine, CA",8,CAINC30,110,"..."," Per capita personal income 4/","Dollars",34611,34462,35975,33724,34725,33636,35951,38549,39511,42775,57052,60115,59632,67853,70060,74512,65673
 "06003" ,"Alpine, CA",8,CAINC30,120,"..."," Per capita net earnings 4/","Dollars",23868,23749,23956,20361,21161,21274,23112,22358,21695,23177,32837,35300,33363,34660,37090,37285,30246
 "06003" ,"Alpine, CA",8,CAINC30,130,"..."," Per capita personal current transfer receipts 4/","Dollars",5135,5334,5839,5976,6438,5949,6403,7715,8600,9798,10454,10683,11634,12683,14037,14960,13431
 "06003" ,"Alpine, CA",8,CAINC30,140,"...","  Per capita income maintenance benefits 4/","Dollars",576,610,726,697,708,729,739,895,1197,1063,1100,1004,1053,1052,1027,1029,947
 "06003" ,"Alpine, CA",8,CAINC30,150,"...","  Per capita unemployment insurance compensation 4/","Dollars",130,194,238,167,192,139,184,246,412,404,434,384,242,190,172,146,143
 "06003" ,"Alpine, CA",8,CAINC30,160,"...","  Per capita retirement and other 4/","Dollars",4429,4530,4876,5112,5538,5081,5480,6573,6991,8332,8920,9295,10339,11441,12838,13785,12341
 "06003" ,"Alpine, CA",8,CAINC30,170,"..."," Per capita dividends, interest, and rent 4/","Dollars",5609,5380,6179,7387,7126,6414,6436,8477,9216,9800,13761,14132,14634,20511,18933,22267,21996
 "06003" ,"Alpine, CA",8,CAINC30,180,"..."," Earnings by place of work","Thousands of dollars",39426,41630,42861,40308,42047,45154,49249,46439,44625,45895,56101,57937,57335,65927,68856,67958,59965
 "06003" ,"Alpine, CA",8,CAINC30,190,"...","  Wages and salaries","Thousands of dollars",23356,24041,24302,25509,26382,27964,29441,28672,27505,27571,40025,41189,40497,49093,50988,50493,43470
 "06003" ,"Alpine, CA",8,CAINC30,200,"...","  Supplements to wages and salaries","Thousands of dollars",5348,5912,6751,7598,8018,7919,8319,8215,7651,7954,9927,9552,10422,11932,12441,12577,11621
 "06003" ,"Alpine, CA",8,CAINC30,201,"...","   Employer contributions for employee pension and insurance funds 5/","Thousands of dollars",3707,4072,4756,5456,5613,5681,6224,6307,5784,6138,7453,7200,8268,9215,9671,9746,8836
 "06003" ,"Alpine, CA",8,CAINC30,202,"...","   Employer contributions for government social insurance","Thousands of dollars",1641,1840,1995,2142,2405,2238,2095,1908,1867,1816,2474,2352,2154,2717,2770,2831,2785
 "06003" ,"Alpine, CA",8,CAINC30,210,"...","  Proprietors' income","Thousands of dollars",10722,11677,11808,7201,7647,9271,11489,9552,9469,10370,6149,7196,6416,4902,5427,4888,4874
 "06003" ,"Alpine, CA",8,CAINC30,220,"...","   Farm proprietors' income","Thousands of dollars",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 "06003" ,"Alpine, CA",8,CAINC30,230,"...","   Nonfarm proprietors' income","Thousands of dollars",10722,11677,11808,7201,7647,9271,11489,9552,9469,10370,6149,7196,6416,4902,5427,4888,4874
 "06003" ,"Alpine, CA",8,CAINC30,240,"...","Total employment (number of jobs)","Number of jobs",1179,1161,1128,1109,1126,1137,1141,1069,961,970,1046,1014,1059,1303,1333,1328,1214
 "06003" ,"Alpine, CA",8,CAINC30,250,"..."," Wage and salary employment","Number of jobs",1010,989,969,939,947,954,961,883,799,802,880,842,890,1123,1168,1164,1048
 "06003" ,"Alpine, CA",8,CAINC30,260,"..."," Proprietors employment","Number of jobs",169,172,159,170,179,183,180,186,162,168,166,172,169,180,165,164,166
 "06003" ,"Alpine, CA",8,CAINC30,270,"...","  Farm proprietors employment 6/","Number of jobs",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 "06003" ,"Alpine, CA",8,CAINC30,280,"...","  Nonfarm proprietors employment","Number of jobs",169,172,159,170,179,183,180,186,162,168,166,172,169,180,165,164,166
 "06003" ,"Alpine, CA",8,CAINC30,290,"...","Average earnings per job (dollars)","Dollars",33440,35857,37997,36346,37342,39713,43163,43442,46436,47314,53634,57137,54141,50596,51655,51173,49395
 "06003" ,"Alpine, CA",8,CAINC30,300,"..."," Average wages and salaries","Dollars",23125,24308,25079,27166,27859,29312,30636,32471,34424,34378,45483,48918,45502,43716,43654,43379,41479
 "06003" ,"Alpine, CA",8,CAINC30,310,"..."," Average nonfarm proprietors' income","Dollars",63444,67890,74264,42359,42721,50661,63828,51355,58451,61726,37042,41837,37964,27233,32891,29805,29361
 "06005" ,"Amador, CA",8,CAINC30,10,"...","Personal income (thousands of dollars)","Thousands of dollars",956884,1010686,1063008,1131812,1155794,1230694,1289844,1309924,1272579,1301768,1333900,1352484,1381381,1461506,1549948,1600953,1687151
 "06005" ,"Amador, CA",8,CAINC30,45,"..."," Net earnings by place of residence","Thousands of dollars",574058,628504,648378,694645,705566,735729,746349,735398,701440,721680,727607,716210,729231,756544,800942,818952,876687
 "06005" ,"Amador, CA",8,CAINC30,50,"..."," Personal current transfer receipts","Thousands of dollars",158911,166879,178265,188069,203200,218574,237545,264227,295102,319123,322749,334484,348484,368770,391312,406646,414475
 "06005" ,"Amador, CA",8,CAINC30,60,"...","  Income maintenance benefits 1/","Thousands of dollars",9202,10025,10810,11712,12839,13407,13974,14528,16801,18196,18957,19541,20120,21112,20854,21040,20310
 "06005" ,"Amador, CA",8,CAINC30,70,"...","  Unemployment insurance compensation","Thousands of dollars",3022,4995,5825,4510,4665,4937,5411,9030,19710,23849,19158,15763,11233,5202,4270,4203,4066
 "06005" ,"Amador, CA",8,CAINC30,80,"...","  Retirement and other","Thousands of dollars",146687,151859,161630,171847,185696,200230,218160,240669,258591,277078,284634,299180,317131,342456,366188,381403,390099
 "06005" ,"Amador, CA",8,CAINC30,90,"..."," Dividends, interest, and rent 2/","Thousands of dollars",223915,215303,236365,249098,247028,276391,305950,310299,276037,260965,283544,301790,303666,336192,357694,375355,395989
 "06005" ,"Amador, CA",8,CAINC30,100,"..."," Population (persons) 3/","Number of persons",35697,36561,36994,37400,38040,38353,38756,38248,38238,37884,37539,37112,36635,36748,37047,37473,38626
 "06005" ,"Amador, CA",8,CAINC30,110,"..."," Per capita personal income 4/","Dollars",26806,27644,28735,30262,30384,32089,33281,34248,33280,34362,35534,36443,37707,39771,41837,42723,43679
 "06005" ,"Amador, CA",8,CAINC30,120,"..."," Per capita net earnings 4/","Dollars",16081,17191,17527,18573,18548,19183,19258,19227,18344,19050,19383,19299,19905,20587,21620,21854,22697
 "06005" ,"Amador, CA",8,CAINC30,130,"..."," Per capita personal current transfer receipts 4/","Dollars",4452,4564,4819,5029,5342,5699,6129,6908,7718,8424,8598,9013,9512,10035,10563,10852,10730
 "06005" ,"Amador, CA",8,CAINC30,140,"...","  Per capita income maintenance benefits 4/","Dollars",258,274,292,313,338,350,361,380,439,480,505,527,549,575,563,561,526
 "06005" ,"Amador, CA",8,CAINC30,150,"...","  Per capita unemployment insurance compensation 4/","Dollars",85,137,157,121,123,129,140,236,515,630,510,425,307,142,115,112,105
 "06005" ,"Amador, CA",8,CAINC30,160,"...","  Per capita retirement and other 4/","Dollars",4109,4154,4369,4595,4882,5221,5629,6292,6763,7314,7582,8062,8657,9319,9884,10178,10099
 "06005" ,"Amador, CA",8,CAINC30,170,"..."," Per capita dividends, interest, and rent 4/","Dollars",6273,5889,6389,6660,6494,7207,7894,8113,7219,6889,7553,8132,8289,9149,9655,10017,10252
 "06005" ,"Amador, CA",8,CAINC30,180,"..."," Earnings by place of work","Thousands of dollars",556158,632287,655508,721166,735211,774423,801388,805336,775362,792303,786937,765616,787879,813016,856029,868941,937679
 "06005" ,"Amador, CA",8,CAINC30,190,"...","  Wages and salaries","Thousands of dollars",338176,386219,389423,430698,443698,473805,512851,528232,499064,477973,476733,474741,484723,503345,530677,536026,575318
 "06005" ,"Amador, CA",8,CAINC30,200,"...","  Supplements to wages and salaries","Thousands of dollars",91695,107719,120432,140177,147182,152987,164343,171846,162789,164840,172023,161924,174161,181538,192170,194275,205032
 "06005" ,"Amador, CA",8,CAINC30,201,"...","   Employer contributions for employee pension and insurance funds 5/","Thousands of dollars",68965,80439,92464,108337,114137,119692,131333,139423,132071,135666,141460,131104,142884,148769,157990,160629,169300
 "06005" ,"Amador, CA",8,CAINC30,202,"...","   Employer contributions for government social insurance","Thousands of dollars",22730,27280,27968,31840,33045,33295,33010,32423,30718,29174,30563,30820,31277,32769,34180,33646,35732
 "06005" ,"Amador, CA",8,CAINC30,210,"...","  Proprietors' income","Thousands of dollars",126287,138349,145653,150291,144331,147631,124194,105258,113509,149490,138181,128951,128995,128133,133182,138640,157329
 "06005" ,"Amador, CA",8,CAINC30,220,"...","   Farm proprietors' income","Thousands of dollars",-739,941,354,6338,2219,-262,-3265,-1734,-2640,-1742,5503,13596,16017,12985,15187,15661,21504
 "06005" ,"Amador, CA",8,CAINC30,230,"...","   Nonfarm proprietors' income","Thousands of dollars",127026,137408,145299,143953,142112,147893,127459,106992,116149,151232,132678,115355,112978,115148,117995,122979,135825
 "06005" ,"Amador, CA",8,CAINC30,240,"...","Total employment (number of jobs)","Number of jobs",17033,17956,17652,18292,18662,18704,19360,19626,18582,17845,17471,17130,16939,17285,17565,17575,18111
 "06005" ,"Amador, CA",8,CAINC30,250,"..."," Wage and salary employment","Number of jobs",12132,13058,12616,12971,13134,13215,13611,14060,13056,12523,12107,11903,11764,11973,12270,12289,12723
 "06005" ,"Amador, CA",8,CAINC30,260,"..."," Proprietors employment","Number of jobs",4901,4898,5036,5321,5528,5489,5749,5566,5526,5322,5364,5227,5175,5312,5295,5286,5388
 "06005" ,"Amador, CA",8,CAINC30,270,"...","  Farm proprietors employment 6/","Number of jobs",464,445,417,401,399,389,415,407,401,398,392,384,390,387,390,387,388
 "06005" ,"Amador, CA",8,CAINC30,280,"...","  Nonfarm proprietors employment","Number of jobs",4437,4453,4619,4920,5129,5100,5334,5159,5125,4924,4972,4843,4785,4925,4905,4899,5000
