GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
 "09000" ,"Connecticut",1,CAINC30,10,"...","Personal income (thousands of dollars)","Thousands of dollars",155326530,155240907,157487981,166423442,175733011,190585769,205012466,217022607,213686792,222631708,229055119,233699236,229251778,239857145,246012167,249513176,257713569
 "09000" ,"Connecticut",1,CAINC30,45,"..."," Net earnings by place of residence","Thousands of dollars",111474211,111960594,113091218,118484916,124095081,131375298,139790372,148084116,147915204,154198881,157203372,157087427,153017244,157648278,160596104,162238534,167096772
 "09000" ,"Connecticut",1,CAINC30,50,"..."," Personal current transfer receipts","Thousands of dollars",15836436,16979535,17324902,18375632,18957753,20230468,21466038,24562798,27243655,29066080,29152868,29499441,29828902,30619493,31735234,32734475,33288481
 "09000" ,"Connecticut",1,CAINC30,60,"...","  Income maintenance benefits 1/","Thousands of dollars",1148583,1157450,1242188,1323741,1414788,1440556,1710770,1917322,2139761,2356687,2420703,2420130,2515691,2581026,2593917,2533081,2496959
 "09000" ,"Connecticut",1,CAINC30,70,"...","  Unemployment insurance compensation","Thousands of dollars",493706,847041,927307,597651,542784,542433,563469,861332,2116252,2430038,1952894,1601309,1323730,731843,616118,653990,634787
 "09000" ,"Connecticut",1,CAINC30,80,"...","  Retirement and other","Thousands of dollars",14194147,14975044,15155407,16454240,17000181,18247479,19191799,21784144,22987642,24279355,24779271,25478002,25989481,27306624,28525199,29547404,30156735
 "09000" ,"Connecticut",1,CAINC30,90,"..."," Dividends, interest, and rent 2/","Thousands of dollars",28015883,26300778,27071861,29562894,32680177,38980003,43756056,44375693,38527933,39366747,42698879,47112368,46405632,51589374,53680829,54540167,57328316
 "09000" ,"Connecticut",1,CAINC30,100,"..."," Population (persons) 3/","Number of persons",3432835,3458749,3484336,3496094,3506956,3517460,3527270,3545579,3561807,3580171,3591927,3597705,3602470,3600188,3593862,3587685,3588184
 "09000" ,"Connecticut",1,CAINC30,110,"..."," Per capita personal income 4/","Dollars",45247,44884,45199,47603,50110,54183,58122,61209,59994,62185,63769,64958,63637,66624,68453,69547,71823
 "09000" ,"Connecticut",1,CAINC30,120,"..."," Per capita net earnings 4/","Dollars",32473,32370,32457,33891,35385,37349,39631,41766,41528,43070,43766,43663,42476,43789,44686,45221,46569
 "09000" ,"Connecticut",1,CAINC30,130,"..."," Per capita personal current transfer receipts 4/","Dollars",4613,4909,4972,5256,5406,5751,6086,6928,7649,8119,8116,8200,8280,8505,8830,9124,9277
 "09000" ,"Connecticut",1,CAINC30,140,"...","  Per capita income maintenance benefits 4/","Dollars",335,335,357,379,403,410,485,541,601,658,674,673,698,717,722,706,696
 "09000" ,"Connecticut",1,CAINC30,150,"...","  Per capita unemployment insurance compensation 4/","Dollars",144,245,266,171,155,154,160,243,594,679,544,445,367,203,171,182,177
 "09000" ,"Connecticut",1,CAINC30,160,"...","  Per capita retirement and other 4/","Dollars",4135,4330,4350,4706,4848,5188,5441,6144,6454,6782,6899,7082,7214,7585,7937,8236,8404
 "09000" ,"Connecticut",1,CAINC30,170,"..."," Per capita dividends, interest, and rent 4/","Dollars",8161,7604,7770,8456,9319,11082,12405,12516,10817,10996,11887,13095,12882,14330,14937,15202,15977
 "09000" ,"Connecticut",1,CAINC30,180,"..."," Earnings by place of work","Thousands of dollars",116958673,117738050,119013145,123986851,129210927,135801253,143290602,150903899,152975814,157372857,158819876,157217633,155950991,160641702,163805078,166259433,168308892
