GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
 "10000" ,"Delaware",2,CAINC30,10,"...","Personal income (thousands of dollars)","Thousands of dollars",29340441,30328740,31030768,32295515,33165848,35225796,36335669,36033818,36291060,36707178,39796706,40309220,40897981,42751170,45012206,45916981,47782056
 "10000" ,"Delaware",2,CAINC30,45,"..."," Net earnings by place of residence","Thousands of dollars",20970144,21616995,21968945,22520987,22876992,23789087,24121447,22816703,23301516,23378316,25527451,25456385,25638654,26523688,27809186,28175653,29025471
 "10000" ,"Delaware",2,CAINC30,50,"..."," Personal current transfer receipts","Thousands of dollars",3367644,3628433,3895662,4194064,4521849,4896220,5307380,6117586,6631491,7158416,7472706,7647964,8037684,8410751,8961075,9346359,9940876
 "10000" ,"Delaware",2,CAINC30,60,"...","  Income maintenance benefits 1/","Thousands of dollars",233082,258079,286526,306083,346757,377537,403069,409222,491770,563476,620822,647693,668471,682661,679859,700807,684581
 "10000" ,"Delaware",2,CAINC30,70,"...","  Unemployment insurance compensation","Thousands of dollars",90257,141798,159880,117321,105546,102262,112451,156511,316425,329270,263114,212454,170696,95256,82376,74818,71136
 "10000" ,"Delaware",2,CAINC30,80,"...","  Retirement and other","Thousands of dollars",3044305,3228556,3449256,3770660,4069546,4416421,4791860,5551853,5823296,6265670,6588770,6787817,7198517,7632834,8198840,8570734,9185159
 "10000" ,"Delaware",2,CAINC30,90,"..."," Dividends, interest, and rent 2/","Thousands of dollars",5002653,5083312,5166161,5580464,5767007,6540489,6906842,7099529,6358053,6170446,6796549,7204871,7221643,7816731,8241945,8394969,8815709
 "10000" ,"Delaware",2,CAINC30,100,"..."," Population (persons) 3/","Number of persons",795699,806169,818003,830803,845150,859268,871749,883874,891730,899712,907884,916868,925114,934805,944107,952698,961939
 "10000" ,"Delaware",2,CAINC30,110,"..."," Per capita personal income 4/","Dollars",36874,37621,37935,38873,39243,40995,41681,40768,40697,40799,43835,43964,44209,45733,47677,48197,49673
 "10000" ,"Delaware",2,CAINC30,120,"..."," Per capita net earnings 4/","Dollars",26354,26814,26857,27107,27069,27685,27670,25814,26131,25984,28118,27765,27714,28373,29456,29575,30174
 "10000" ,"Delaware",2,CAINC30,130,"..."," Per capita personal current transfer receipts 4/","Dollars",4232,4501,4762,5048,5350,5698,6088,6921,7437,7956,8231,8341,8688,8997,9492,9810,10334
 "10000" ,"Delaware",2,CAINC30,140,"...","  Per capita income maintenance benefits 4/","Dollars",293,320,350,368,410,439,462,463,551,626,684,706,723,730,720,736,712
 "10000" ,"Delaware",2,CAINC30,150,"...","  Per capita unemployment insurance compensation 4/","Dollars",113,176,195,141,125,119,129,177,355,366,290,232,185,102,87,79,74
 "10000" ,"Delaware",2,CAINC30,160,"...","  Per capita retirement and other 4/","Dollars",3826,4005,4217,4539,4815,5140,5497,6281,6530,6964,7257,7403,7781,8165,8684,8996,9549
 "10000" ,"Delaware",2,CAINC30,170,"..."," Per capita dividends, interest, and rent 4/","Dollars",6287,6306,6316,6717,6824,7612,7923,8032,7130,6858,7486,7858,7806,8362,8730,8812,9165
 "10000" ,"Delaware",2,CAINC30,180,"..."," Earnings by place of work","Thousands of dollars",25074167,25776614,26269634,27150896,27785406,29110592,29371426,28224890,27964277,28256447,30528151,30602136,31222581,32673184,34266168,34322701,35512931
 "10000" ,"Delaware",2,CAINC30,190,"...","  Wages and salaries","Thousands of dollars",16379849,16737029,17343887,18393118,19544482,20477819,20987505,21110190,20181197,20427846,21330265,22034824,22596771,23615524,24477517,24641825,25739567
 "10000" ,"Delaware",2,CAINC30,200,"...","  Supplements to wages and salaries","Thousands of dollars",3628773,3824525,4043503,4325342,4614211,5048797,5137348,5172210,5044563,5104836,5393468,5430849,5465490,5798779,6070942,5996554,6251877
 "10000" ,"Delaware",2,CAINC30,201,"...","   Employer contributions for employee pension and insurance funds 5/","Thousands of dollars",2503505,2652410,2825342,3013965,3248233,3599854,3656942,3638026,3548723,3601557,3852182,3823214,3815780,4037422,4249811,4186203,4391387
 "10000" ,"Delaware",2,CAINC30,202,"...","   Employer contributions for government social insurance","Thousands of dollars",1125268,1172115,1218161,1311377,1365978,1448943,1480406,1534184,1495840,1503279,1541286,1607635,1649710,1761357,1821131,1810351,1860490
 "10000" ,"Delaware",2,CAINC30,210,"...","  Proprietors' income","Thousands of dollars",5065545,5215060,4882244,4432436,3626713,3583976,3246573,1942490,2738517,2723765,3804418,3136463,3160320,3258881,3717709,3684322,3521487
 "10000" ,"Delaware",2,CAINC30,220,"...","   Farm proprietors' income","Thousands of dollars",176327,45482,137270,217276,261079,173905,170680,191124,259288,228374,201128,241703,391020,465619,341578,292125,366450
 "10000" ,"Delaware",2,CAINC30,230,"...","   Nonfarm proprietors' income","Thousands of dollars",4889218,5169578,4744974,4215160,3365634,3410071,3075893,1751366,2479229,2495391,3603290,2894760,2769300,2793262,3376131,3392197,3155037
 "10000" ,"Delaware",2,CAINC30,240,"...","Total employment (number of jobs)","Number of jobs",502735,500640,504099,518103,528674,537109,544949,544911,525634,522400,530400,534261,544797,556560,568893,578770,584066
 "10000" ,"Delaware",2,CAINC30,250,"..."," Wage and salary employment","Number of jobs",435790,431374,431320,440381,445858,450363,451163,450700,428633,426000,429319,433059,441311,450681,459075,464150,466853
 "10000" ,"Delaware",2,CAINC30,260,"..."," Proprietors employment","Number of jobs",66945,69266,72779,77722,82816,86746,93786,94211,97001,96400,101081,101202,103486,105879,109818,114620,117213
 "10000" ,"Delaware",2,CAINC30,270,"...","  Farm proprietors employment 6/","Number of jobs",2396,2184,2011,1944,1915,1854,2011,1977,1935,1988,1957,1942,1965,2007,2023,2021,2020
 "10000" ,"Delaware",2,CAINC30,280,"...","  Nonfarm proprietors employment","Number of jobs",64549,67082,70768,75778,80901,84892,91775,92234,95066,94412,99124,99260,101521,103872,107795,112599,115193
 "10000" ,"Delaware",2,CAINC30,290,"...","Average earnings per job (dollars)","Dollars",49876,51487,52112,52404,52557,54199,53898,51797,53201,54090,57557,57279,57310,58706,60233,59303,60803
 "10000" ,"Delaware",2,CAINC30,300,"..."," Average wages and salaries","Dollars",37587,38799,40211,41766,43836,45470,46519,46839,47083,47953,49684,50882,51204,52400,53319,53090,55134
 "10000" ,"Delaware",2,CAINC30,310,"..."," Average nonfarm proprietors' income","Dollars",75744,77064,67050,55625,41602,40170,33516,18988,26079,26431,36351,29163,27278,26891,31320,30126,27389
