GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
 "13000" ,"Georgia",5,CAINC30,10,"...","Personal income (thousands of dollars)","Thousands of dollars",248728192,255618215,264925805,279469439,296727305,316877770,331391419,333747295,327375254,335318009,359574722,367803705,373356233,398881758,422844996,439574419,460402913
 "13000" ,"Georgia",5,CAINC30,45,"..."," Net earnings by place of residence","Thousands of dollars",178281462,182158596,189062300,199809230,209680724,221068976,226989012,221905507,215889776,219372566,231799647,239393353,244241136,258675958,274143823,286093870,301400695
 "13000" ,"Georgia",5,CAINC30,50,"..."," Personal current transfer receipts","Thousands of dollars",28498742,32250431,32841311,35392998,38622113,41480365,44654074,51426733,56530664,61975342,64914062,64291108,66629166,69941668,73089104,75740764,78432424
 "13000" ,"Georgia",5,CAINC30,60,"...","  Income maintenance benefits 1/","Thousands of dollars",3099493,3398471,3935497,4497112,5007657,5356841,5517779,6226248,7618479,8592178,9118183,9340105,9615310,9533100,9301197,9202767,9015469
 "13000" ,"Georgia",5,CAINC30,70,"...","  Unemployment insurance compensation","Thousands of dollars",629984,1039811,1037830,672892,586796,612715,692120,1259715,3432897,3379939,2540113,1938180,1327425,557813,444299,379627,353884
 "13000" ,"Georgia",5,CAINC30,80,"...","  Retirement and other","Thousands of dollars",24769265,27812149,27867984,30222994,33027660,35510809,38444175,43940770,45479288,50003225,53255766,53012823,55686431,59850755,63343608,66158370,69063071
 "13000" ,"Georgia",5,CAINC30,90,"..."," Dividends, interest, and rent 2/","Thousands of dollars",41947988,41209188,43022194,44267211,48424468,54328429,59748333,60415055,54954814,53970101,62861013,64119244,62485931,70264132,75612069,77739785,80569794
 "13000" ,"Georgia",5,CAINC30,100,"..."," Population (persons) 3/","Number of persons",8377038,8508256,8622793,8769252,8925922,9155813,9349988,9504843,9620846,9712696,9810595,9911171,9981773,10083850,10199533,10313620,10429379
 "13000" ,"Georgia",5,CAINC30,110,"..."," Per capita personal income 4/","Dollars",29692,30044,30724,31869,33243,34609,35443,35113,34028,34524,36652,37110,37404,39556,41457,42621,44145
 "13000" ,"Georgia",5,CAINC30,120,"..."," Per capita net earnings 4/","Dollars",21282,21410,21926,22785,23491,24145,24277,23347,22440,22586,23627,24154,24469,25652,26878,27739,28899
 "13000" ,"Georgia",5,CAINC30,130,"..."," Per capita personal current transfer receipts 4/","Dollars",3402,3790,3809,4036,4327,4530,4776,5411,5876,6381,6617,6487,6675,6936,7166,7344,7520
 "13000" ,"Georgia",5,CAINC30,140,"...","  Per capita income maintenance benefits 4/","Dollars",370,399,456,513,561,585,590,655,792,885,929,942,963,945,912,892,864
 "13000" ,"Georgia",5,CAINC30,150,"...","  Per capita unemployment insurance compensation 4/","Dollars",75,122,120,77,66,67,74,133,357,348,259,196,133,55,44,37,34
 "13000" ,"Georgia",5,CAINC30,160,"...","  Per capita retirement and other 4/","Dollars",2957,3269,3232,3446,3700,3878,4112,4623,4727,5148,5428,5349,5579,5935,6210,6415,6622
 "13000" ,"Georgia",5,CAINC30,170,"..."," Per capita dividends, interest, and rent 4/","Dollars",5007,4843,4989,5048,5425,5934,6390,6356,5712,5557,6407,6469,6260,6968,7413,7538,7725
 "13000" ,"Georgia",5,CAINC30,180,"..."," Earnings by place of work","Thousands of dollars",199208762,203534375,211055830,223622570,234461123,247332843,253965751,249905534,243352042,247331832,257811045,266463546,275964337,291984124,309070814,322688621,339706952
 "13000" ,"Georgia",5,CAINC30,190,"...","  Wages and salaries","Thousands of dollars",145820293,146630131,150824647,158364432,167388833,177133954,186674049,188018370,178941842,180994228,187600952,195336726,200728603,212128153,224025764,234683817,246139015
 "13000" ,"Georgia",5,CAINC30,200,"...","  Supplements to wages and salaries","Thousands of dollars",28677046,30566826,32713720,35150275,36975944,39063017,40155382,40830585,42384213,42546119,44253882,44787692,48231268,50194260,51768006,53770378,56028930
 "13000" ,"Georgia",5,CAINC30,201,"...","   Employer contributions for employee pension and insurance funds 5/","Thousands of dollars",19082590,20829282,22699271,23941881,25416099,26919622,27791992,27958042,29884892,29803747,31007833,31041997,34001370,35355728,36182153,37661152,39281154
 "13000" ,"Georgia",5,CAINC30,202,"...","   Employer contributions for government social insurance","Thousands of dollars",9594456,9737544,10014449,11208394,11559845,12143395,12363390,12872543,12499321,12742372,13246049,13745695,14229898,14838532,15585853,16109226,16747776
 "13000" ,"Georgia",5,CAINC30,210,"...","  Proprietors' income","Thousands of dollars",24711423,26337418,27517463,30107863,30096346,31135872,27136320,21056579,22025987,23791485,25956211,26339128,27004466,29661711,33277044,34234426,37539007
 "13000" ,"Georgia",5,CAINC30,220,"...","   Farm proprietors' income","Thousands of dollars",1863584,1313411,1752494,1815812,2080407,1250502,1449121,1718677,1580914,1034912,1301595,1974000,2243573,1541629,1925872,1210155,1549534
 "13000" ,"Georgia",5,CAINC30,230,"...","   Nonfarm proprietors' income","Thousands of dollars",22847839,25024007,25764969,28292051,28015939,29885370,25687199,19337902,20445073,22756573,24654616,24365128,24760893,28120082,31351172,33024271,35989473
 "13000" ,"Georgia",5,CAINC30,240,"...","Total employment (number of jobs)","Number of jobs",4871814,4858288,4895247,5021690,5195833,5358038,5490688,5450887,5247022,5211352,5325616,5384572,5496783,5670393,5831465,5970472,6083808
