GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
 "15000" ,"Hawaii",8,CAINC30,10,"...","Personal income (thousands of dollars)","Thousands of dollars",37354451,39012166,40852209,44054767,47359463,50773533,53520243,56166169,56013398,57101367,59922334,62434642,63355087,66899449,70323405,72650058,75355132
 "15000" ,"Hawaii",8,CAINC30,45,"..."," Net earnings by place of residence","Thousands of dollars",25015286,26592745,28269464,30381431,32588298,34342704,35445041,36148824,35691397,36246071,37976321,39862683,40408522,42202853,44360166,45608682,47226377
 "15000" ,"Hawaii",8,CAINC30,50,"..."," Personal current transfer receipts","Thousands of dollars",4450371,4807071,4962916,5291622,5727306,6041721,6636605,7726743,8293720,9287327,9653068,9514474,9863576,10545378,10901489,11306805,11749347
 "15000" ,"Hawaii",8,CAINC30,60,"...","  Income maintenance benefits 1/","Thousands of dollars",553920,604000,603986,643244,709781,742325,795807,898525,1045340,1173080,1229109,1243420,1306193,1335122,1275463,1237154,1224484
 "15000" ,"Hawaii",8,CAINC30,70,"...","  Unemployment insurance compensation","Thousands of dollars",147804,202473,168114,120568,93163,100402,113600,240906,558175,597428,485133,405506,274799,184648,143976,134960,161358
 "15000" ,"Hawaii",8,CAINC30,80,"...","  Retirement and other","Thousands of dollars",3748647,4000598,4190816,4527810,4924362,5198994,5727198,6587312,6690205,7516819,7938826,7865548,8282584,9025608,9482050,9934691,10363505
 "15000" ,"Hawaii",8,CAINC30,90,"..."," Dividends, interest, and rent 2/","Thousands of dollars",7888794,7612350,7619829,8381714,9043859,10389108,11438597,12290602,12028281,11567969,12292945,13057485,13082989,14151218,15061750,15734571,16379408
 "15000" ,"Hawaii",8,CAINC30,100,"..."," Population (persons) 3/","Number of persons",1225948,1239613,1251154,1273569,1292729,1309731,1315675,1332213,1346717,1363817,1378323,1392772,1408038,1417710,1426320,1428683,1427538
 "15000" ,"Hawaii",8,CAINC30,110,"..."," Per capita personal income 4/","Dollars",30470,31471,32652,34592,36635,38766,40679,42160,41593,41869,43475,44828,44995,47188,49304,50851,52787
 "15000" ,"Hawaii",8,CAINC30,120,"..."," Per capita net earnings 4/","Dollars",20405,21452,22595,23855,25209,26221,26941,27134,26503,26577,27553,28621,28698,29768,31101,31924,33082
 "15000" ,"Hawaii",8,CAINC30,130,"..."," Per capita personal current transfer receipts 4/","Dollars",3630,3878,3967,4155,4430,4613,5044,5800,6158,6810,7003,6831,7005,7438,7643,7914,8230
 "15000" ,"Hawaii",8,CAINC30,140,"...","  Per capita income maintenance benefits 4/","Dollars",452,487,483,505,549,567,605,674,776,860,892,893,928,942,894,866,858
 "15000" ,"Hawaii",8,CAINC30,150,"...","  Per capita unemployment insurance compensation 4/","Dollars",121,163,134,95,72,77,86,181,414,438,352,291,195,130,101,94,113
 "15000" ,"Hawaii",8,CAINC30,160,"...","  Per capita retirement and other 4/","Dollars",3058,3227,3350,3555,3809,3970,4353,4945,4968,5512,5760,5647,5882,6366,6648,6954,7260
 "15000" ,"Hawaii",8,CAINC30,170,"..."," Per capita dividends, interest, and rent 4/","Dollars",6435,6141,6090,6581,6996,7932,8694,9226,8932,8482,8919,9375,9292,9982,10560,11013,11474
 "15000" ,"Hawaii",8,CAINC30,180,"..."," Earnings by place of work","Thousands of dollars",28063097,29837116,31760763,34048620,36522668,38590111,39887517,40680512,40167389,40952974,42453316,44495709,45820999,47658433,50059994,51442271,53287231
 "15000" ,"Hawaii",8,CAINC30,190,"...","  Wages and salaries","Thousands of dollars",19831092,20867549,22005611,23664894,25185778,26870576,28394242,29195819,28516537,28599421,29451257,30667315,31514150,32815816,34567205,35809077,37084626
 "15000" ,"Hawaii",8,CAINC30,200,"...","  Supplements to wages and salaries","Thousands of dollars",4803051,5294429,5930003,6309787,6831071,6994848,7362838,7620854,7507054,7962499,8714959,8872721,9307148,9695991,9990454,10134439,10443858
 "15000" ,"Hawaii",8,CAINC30,201,"...","   Employer contributions for employee pension and insurance funds 5/","Thousands of dollars",3296890,3682382,4164947,4494185,4885076,4892495,5200207,5442858,5346703,5593447,6152134,6206235,6491108,6975587,7185419,7321038,7523132
 "15000" ,"Hawaii",8,CAINC30,202,"...","   Employer contributions for government social insurance","Thousands of dollars",1506161,1612047,1765056,1815602,1945995,2102353,2162631,2177996,2160351,2369052,2562825,2666486,2816040,2720404,2805035,2813401,2920726
 "15000" ,"Hawaii",8,CAINC30,210,"...","  Proprietors' income","Thousands of dollars",3428954,3675138,3825149,4073939,4505819,4724687,4130437,3863839,4143798,4391054,4287100,4955673,4999701,5146626,5502335,5498755,5758747
 "15000" ,"Hawaii",8,CAINC30,220,"...","   Farm proprietors' income","Thousands of dollars",39138,49891,51386,44077,63222,69279,53353,43748,87341,79551,114349,62028,33456,5377,52207,-24102,-8881
 "15000" ,"Hawaii",8,CAINC30,230,"...","   Nonfarm proprietors' income","Thousands of dollars",3389816,3625247,3773763,4029862,4442597,4655408,4077084,3820091,4056457,4311503,4172751,4893645,4966245,5141249,5450128,5522857,5767628
 "15000" ,"Hawaii",8,CAINC30,240,"...","Total employment (number of jobs)","Number of jobs",752548,757721,773638,797263,819997,842413,864625,858402,829897,824460,835012,849156,868122,882801,901144,912896,921881
 "15000" ,"Hawaii",8,CAINC30,250,"..."," Wage and salary employment","Number of jobs",628046,631037,642343,657931,674135,690321,698292,692977,664720,661142,668971,680842,693539,702977,715201,722186,727610
 "15000" ,"Hawaii",8,CAINC30,260,"..."," Proprietors employment","Number of jobs",124502,126684,131295,139332,145862,152092,166333,165425,165177,163318,166041,168314,174583,179824,185943,190710,194271
 "15000" ,"Hawaii",8,CAINC30,270,"...","  Farm proprietors employment 6/","Number of jobs",5236,4795,4719,4604,4605,4513,6149,6006,5903,5848,5776,5636,5693,5696,5712,5705,5704
 "15000" ,"Hawaii",8,CAINC30,280,"...","  Nonfarm proprietors employment","Number of jobs",119266,121889,126576,134728,141257,147579,160184,159419,159274,157470,160265,162678,168890,174128,180231,185005,188567
 "15000" ,"Hawaii",8,CAINC30,290,"...","Average earnings per job (dollars)","Dollars",37291,39377,41054,42707,44540,45809,46133,47391,48400,49672,50842,52400,52782,53985,55552,56351,57803
