GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
 "19000" ,"Iowa",4,CAINC30,10,"...","Personal income (thousands of dollars)","Thousands of dollars",82942427,84927398,86664455,93570218,96375827,102447932,109906431,116372274,112828976,116353051,125586183,131982219,134398203,139148645,144182516,145156779,148042652
 "19000" ,"Iowa",4,CAINC30,45,"..."," Net earnings by place of residence","Thousands of dollars",54516207,55763100,57754153,63906634,65741274,68741991,73067796,76080715,72640039,75009490,81457451,85520690,88359346,90241453,92445083,91916145,93713918
 "19000" ,"Iowa",4,CAINC30,50,"..."," Personal current transfer receipts","Thousands of dollars",11745698,12931962,12876642,13341213,14254193,15719673,16725825,19053934,20383585,21720557,22059721,21983499,22468431,23475543,24681350,25310986,25221209
 "19000" ,"Iowa",4,CAINC30,60,"...","  Income maintenance benefits 1/","Thousands of dollars",757223,810851,899268,977436,1076427,1144746,1396602,1526741,1757847,1927299,1950737,1979721,1995936,1969554,1958348,1961609,1930743
 "19000" ,"Iowa",4,CAINC30,70,"...","  Unemployment insurance compensation","Thousands of dollars",313242,440630,468106,333131,310609,324253,343060,491948,1141100,1084374,848853,647410,524323,413674,402819,414658,398519
 "19000" ,"Iowa",4,CAINC30,80,"...","  Retirement and other","Thousands of dollars",10675233,11680481,11509268,12030646,12867157,14250674,14986163,17035245,17484638,18708884,19260131,19356368,19948172,21092315,22320183,22934719,22891947
 "19000" ,"Iowa",4,CAINC30,90,"..."," Dividends, interest, and rent 2/","Thousands of dollars",16680522,16232336,16033660,16322371,16380360,17986268,20112810,21237625,19805352,19623004,22069011,24478030,23570426,25431649,27056083,27929648,29107525
 "19000" ,"Iowa",4,CAINC30,100,"..."," Population (persons) 3/","Number of persons",2931997,2934234,2941999,2953635,2964454,2982644,2999212,3016734,3032870,3050223,3063690,3074386,3089876,3105563,3118473,3130869,3145711
 "19000" ,"Iowa",4,CAINC30,110,"..."," Per capita personal income 4/","Dollars",28289,28944,29458,31680,32510,34348,36645,38576,37202,38146,40992,42930,43496,44806,46235,46363,47062
 "19000" ,"Iowa",4,CAINC30,120,"..."," Per capita net earnings 4/","Dollars",18594,19004,19631,21637,22177,23047,24362,25220,23951,24591,26588,27817,28596,29058,29644,29358,29791
 "19000" ,"Iowa",4,CAINC30,130,"..."," Per capita personal current transfer receipts 4/","Dollars",4006,4407,4377,4517,4808,5270,5577,6316,6721,7121,7200,7151,7272,7559,7915,8084,8018
 "19000" ,"Iowa",4,CAINC30,140,"...","  Per capita income maintenance benefits 4/","Dollars",258,276,306,331,363,384,466,506,580,632,637,644,646,634,628,627,614
 "19000" ,"Iowa",4,CAINC30,150,"...","  Per capita unemployment insurance compensation 4/","Dollars",107,150,159,113,105,109,114,163,376,356,277,211,170,133,129,132,127
 "19000" ,"Iowa",4,CAINC30,160,"...","  Per capita retirement and other 4/","Dollars",3641,3981,3912,4073,4340,4778,4997,5647,5765,6134,6287,6296,6456,6792,7157,7325,7277
 "19000" ,"Iowa",4,CAINC30,170,"..."," Per capita dividends, interest, and rent 4/","Dollars",5689,5532,5450,5526,5526,6030,6706,7040,6530,6433,7203,7962,7628,8189,8676,8921,9253
 "19000" ,"Iowa",4,CAINC30,180,"..."," Earnings by place of work","Thousands of dollars",60578124,61938146,64224224,70750525,73077782,76584923,81109018,84477128,80916246,83560993,89243146,93675581,97936195,100309382,102832156,102722563,104584148
 "19000" ,"Iowa",4,CAINC30,190,"...","  Wages and salaries","Thousands of dollars",42987825,43744456,45213217,47892131,50008032,52641178,55522152,57466395,56072611,57199134,59354406,62154133,63998856,67123644,70020422,71679538,73690957
 "19000" ,"Iowa",4,CAINC30,200,"...","  Supplements to wages and salaries","Thousands of dollars",10043589,10328830,10843220,11648917,12386345,12936797,13596736,14270243,14588856,14695930,14763992,15687592,16044359,17207385,17183866,18418453,19083972
 "19000" ,"Iowa",4,CAINC30,201,"...","   Employer contributions for employee pension and insurance funds 5/","Thousands of dollars",6702377,6935345,7270272,7918796,8492001,8846271,9320670,9792537,10189662,10057494,9879132,10677659,10941644,12005433,11907826,12852191,13356183
 "19000" ,"Iowa",4,CAINC30,202,"...","   Employer contributions for government social insurance","Thousands of dollars",3341212,3393485,3572948,3730121,3894344,4090526,4276066,4477706,4399194,4638436,4884860,5009933,5102715,5201952,5276040,5566262,5727789
 "19000" ,"Iowa",4,CAINC30,210,"...","  Proprietors' income","Thousands of dollars",7546710,7864860,8167787,11209477,10683405,11006948,11990130,12740490,10254779,11665929,15124748,15833856,17892980,15978353,15627868,12624572,11809219
 "19000" ,"Iowa",4,CAINC30,220,"...","   Farm proprietors' income","Thousands of dollars",1881041,1772371,1801668,4293729,3480799,2507442,3309644,4126033,2576953,2945271,6686440,5889636,7785126,4971380,4530538,1989054,1226216
 "19000" ,"Iowa",4,CAINC30,230,"...","   Nonfarm proprietors' income","Thousands of dollars",5665669,6092489,6366119,6915748,7202606,8499506,8680486,8614457,7677826,8720658,8438308,9944220,10107854,11006973,11097330,10635518,10583003
 "19000" ,"Iowa",4,CAINC30,240,"...","Total employment (number of jobs)","Number of jobs",1902198,1879713,1873330,1902227,1933919,1965778,1994031,1997615,1959142,1950444,1975960,1993430,2019480,2038927,2059531,2066639,2070488
 "19000" ,"Iowa",4,CAINC30,250,"..."," Wage and salary employment","Number of jobs",1522116,1507604,1500007,1521678,1545547,1568789,1579953,1586287,1540936,1535646,1551027,1570535,1592602,1607246,1626375,1632862,1630848
 "19000" ,"Iowa",4,CAINC30,260,"..."," Proprietors employment","Number of jobs",380082,372109,373323,380549,388372,396989,414078,411328,418206,414798,424933,422895,426878,431681,433156,433777,439640
 "19000" ,"Iowa",4,CAINC30,270,"...","  Farm proprietors employment 6/","Number of jobs",91481,81029,76864,74640,73612,71617,74324,73353,72595,72352,72700,72109,72641,72272,71906,71411,71313
 "19000" ,"Iowa",4,CAINC30,280,"...","  Nonfarm proprietors employment","Number of jobs",288601,291080,296459,305909,314760,325372,339754,337975,345611,342446,352233,350786,354237,359409,361250,362366,368327
 "19000" ,"Iowa",4,CAINC30,290,"...","Average earnings per job (dollars)","Dollars",31846,32951,34283,37194,37787,38959,40676,42289,41302,42842,45164,46992,48496,49197,49930,49705,50512
 "19000" ,"Iowa",4,CAINC30,300,"..."," Average wages and salaries","Dollars",28242,29016,30142,31473,32356,33555,35142,36227,36389,37248,38268,39575,40185,41763,43053,43898,45186
 "19000" ,"Iowa",4,CAINC30,310,"..."," Average nonfarm proprietors' income","Dollars",19631,20931,21474,22607,22883,26122,25549,25488,22215,25466,23957,28348,28534,30625,30719,29350,28733
 "19001" ,"Adair, IA",4,CAINC30,10,"...","Personal income (thousands of dollars)","Thousands of dollars",214465,221150,217763,249163,229531,237977,253702,290842,272949,270823,308970,314347,336398,333362,336540,335900,327725
 "19001" ,"Adair, IA",4,CAINC30,45,"..."," Net earnings by place of residence","Thousands of dollars",125082,132668,134976,168754,151416,154408,162111,184983,169099,166420,200991,199177,222131,212070,212890,209287,198504
 "19001" ,"Adair, IA",4,CAINC30,50,"..."," Personal current transfer receipts","Thousands of dollars",36088,38404,36844,38046,40045,44985,45879,52109,55105,56588,56643,56816,57240,59899,59613,62214,62400
 "19001" ,"Adair, IA",4,CAINC30,60,"...","  Income maintenance benefits 1/","Thousands of dollars",1549,1609,1552,1936,2126,2287,2928,3010,3592,3751,3829,4036,4062,3986,3836,3860,3879
 "19001" ,"Adair, IA",4,CAINC30,70,"...","  Unemployment insurance compensation","Thousands of dollars",781,1101,1123,880,742,801,1071,1464,2711,2721,2064,1404,1213,1090,832,777,844
 "19001" ,"Adair, IA",4,CAINC30,80,"...","  Retirement and other","Thousands of dollars",33758,35694,34169,35230,37177,41897,41880,47635,48802,50116,50750,51376,51965,54823,54945,57577,57677
 "19001" ,"Adair, IA",4,CAINC30,90,"..."," Dividends, interest, and rent 2/","Thousands of dollars",53295,50078,45943,42363,38070,38584,45712,53750,48745,47815,51336,58354,57027,61393,64037,64399,66821
 "19001" ,"Adair, IA",4,CAINC30,100,"..."," Population (persons) 3/","Number of persons",8132,8059,8050,8019,7932,7924,7871,7747,7676,7679,7545,7468,7387,7367,7141,7010,7054
 "19001" ,"Adair, IA",4,CAINC30,110,"..."," Per capita personal income 4/","Dollars",26373,27441,27051,31072,28937,30032,32232,37543,35559,35268,40950,42093,45539,45251,47128,47917,46459
 "19001" ,"Adair, IA",4,CAINC30,120,"..."," Per capita net earnings 4/","Dollars",15381,16462,16767,21044,19089,19486,20596,23878,22030,21672,26639,26671,30071,28786,29812,29855,28141
 "19001" ,"Adair, IA",4,CAINC30,130,"..."," Per capita personal current transfer receipts 4/","Dollars",4438,4765,4577,4744,5049,5677,5829,6726,7179,7369,7507,7608,7749,8131,8348,8875,8846
 "19001" ,"Adair, IA",4,CAINC30,140,"...","  Per capita income maintenance benefits 4/","Dollars",190,200,193,241,268,289,372,389,468,488,507,540,550,541,537,551,550
 "19001" ,"Adair, IA",4,CAINC30,150,"...","  Per capita unemployment insurance compensation 4/","Dollars",96,137,140,110,94,101,136,189,353,354,274,188,164,148,117,111,120
 "19001" ,"Adair, IA",4,CAINC30,160,"...","  Per capita retirement and other 4/","Dollars",4151,4429,4245,4393,4687,5287,5321,6149,6358,6526,6726,6879,7035,7442,7694,8214,8176
 "19001" ,"Adair, IA",4,CAINC30,170,"..."," Per capita dividends, interest, and rent 4/","Dollars",6554,6214,5707,5283,4800,4869,5808,6938,6350,6227,6804,7814,7720,8334,8968,9187,9473
 "19001" ,"Adair, IA",4,CAINC30,180,"..."," Earnings by place of work","Thousands of dollars",117142,123750,127488,159012,139570,139716,144259,167205,147568,142321,170220,161840,181469,165914,163366,160053,145638
