GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
 "22000" ,"Louisiana",5,CAINC30,10,"...","Personal income (thousands of dollars)","Thousands of dollars",114378290,117657280,121062438,126175060,135724867,143751044,156784816,167982849,163381831,170476939,176174660,186004152,188376958,197685900,200077726,199543361,204516783
 "22000" ,"Louisiana",5,CAINC30,45,"..."," Net earnings by place of residence","Thousands of dollars",75012672,77723383,80889539,83460712,87334586,93540475,98566531,105921585,103871578,109346081,112217529,117189484,120062052,127187413,125026650,121100940,122991396
 "22000" ,"Louisiana",5,CAINC30,50,"..."," Personal current transfer receipts","Thousands of dollars",20283649,21372653,21421600,23649890,27719570,25560311,26593738,30287423,32110903,34490077,34946490,35713208,36958112,37116216,41128159,43815555,45659128
 "22000" ,"Louisiana",5,CAINC30,60,"...","  Income maintenance benefits 1/","Thousands of dollars",2419411,2720830,2859753,3079601,4902827,3008474,3201837,3787875,3939643,4392894,4587705,4749923,4649627,4594470,4618718,5161948,4678520
 "22000" ,"Louisiana",5,CAINC30,70,"...","  Unemployment insurance compensation","Thousands of dollars",235583,396627,399674,320848,689334,321650,191738,270755,718473,862528,653244,481228,311210,211802,261382,290574,226015
 "22000" ,"Louisiana",5,CAINC30,80,"...","  Retirement and other","Thousands of dollars",17628655,18255196,18162173,20249441,22127409,22230187,23200163,26228793,27452787,29234655,29705541,30482057,31997275,32309944,36248059,38363033,40754593
 "22000" ,"Louisiana",5,CAINC30,90,"..."," Dividends, interest, and rent 2/","Thousands of dollars",19081969,18561244,18751299,19064458,20670711,24650258,31624547,31773841,27399350,26640781,29010641,33101460,31356794,33382271,33922917,34626866,35866259
 "22000" ,"Louisiana",5,CAINC30,100,"..."," Population (persons) 3/","Number of persons",4477875,4497267,4521042,4552238,4576628,4302665,4375581,4435586,4491648,4544871,4574388,4602681,4626795,4648797,4671211,4686157,4684333
 "22000" ,"Louisiana",5,CAINC30,110,"..."," Per capita personal income 4/","Dollars",25543,26162,26778,27717,29656,33410,35832,37872,36375,37510,38513,40412,40714,42524,42832,42581,43660
 "22000" ,"Louisiana",5,CAINC30,120,"..."," Per capita net earnings 4/","Dollars",16752,17282,17892,18334,19083,21740,22527,23880,23125,24059,24532,25461,25949,27359,26765,25842,26256
 "22000" ,"Louisiana",5,CAINC30,130,"..."," Per capita personal current transfer receipts 4/","Dollars",4530,4752,4738,5195,6057,5941,6078,6828,7149,7589,7640,7759,7988,7984,8805,9350,9747
 "22000" ,"Louisiana",5,CAINC30,140,"...","  Per capita income maintenance benefits 4/","Dollars",540,605,633,677,1071,699,732,854,877,967,1003,1032,1005,988,989,1102,999
 "22000" ,"Louisiana",5,CAINC30,150,"...","  Per capita unemployment insurance compensation 4/","Dollars",53,88,88,70,151,75,44,61,160,190,143,105,67,46,56,62,48
 "22000" ,"Louisiana",5,CAINC30,160,"...","  Per capita retirement and other 4/","Dollars",3937,4059,4017,4448,4835,5167,5302,5913,6112,6432,6494,6623,6916,6950,7760,8186,8700
 "22000" ,"Louisiana",5,CAINC30,170,"..."," Per capita dividends, interest, and rent 4/","Dollars",4261,4127,4148,4188,4517,5729,7228,7163,6100,5862,6342,7192,6777,7181,7262,7389,7657
 "22000" ,"Louisiana",5,CAINC30,180,"..."," Earnings by place of work","Thousands of dollars",83629559,86666273,90123143,93010152,97082303,104028882,109757143,117822918,115721098,121580904,123463754,128701204,133486329,141306073,139435609,135478723,137921970
 "22000" ,"Louisiana",5,CAINC30,190,"...","  Wages and salaries","Thousands of dollars",58748984,60587573,62675430,65480495,67930926,72521533,78328895,83643408,82280463,83587194,86069492,89000904,91411431,95439491,97175395,95621695,97391207
 "22000" ,"Louisiana",5,CAINC30,200,"...","  Supplements to wages and salaries","Thousands of dollars",13383096,14127176,15026268,15911651,16568725,17270637,18126324,18929821,19449778,20830342,20133485,20787020,21564158,22762830,23566621,23423167,24062949
 "22000" ,"Louisiana",5,CAINC30,201,"...","   Employer contributions for employee pension and insurance funds 5/","Thousands of dollars",9415514,10033433,10822671,11592333,12211133,12657147,13201477,13716597,14275624,15515582,14548824,15029212,15618042,16607511,17268773,17256501,17774022
 "22000" ,"Louisiana",5,CAINC30,202,"...","   Employer contributions for government social insurance","Thousands of dollars",3967582,4093743,4203597,4319318,4357592,4613490,4924847,5213224,5174154,5314760,5584661,5757808,5946116,6155319,6297848,6166666,6288927
 "22000" ,"Louisiana",5,CAINC30,210,"...","  Proprietors' income","Thousands of dollars",11497479,11951524,12421445,11618006,12582652,14236712,13301924,15249689,13990857,17163368,17260777,18913280,20510740,23103752,18693593,16433861,16467814
 "22000" ,"Louisiana",5,CAINC30,220,"...","   Farm proprietors' income","Thousands of dollars",444161,218379,638698,592541,499089,545875,554936,343251,546336,601941,677691,933381,1302766,722166,307705,363559,423216
 "22000" ,"Louisiana",5,CAINC30,230,"...","   Nonfarm proprietors' income","Thousands of dollars",11053318,11733145,11782747,11025465,12083563,13690837,12746988,14906438,13444521,16561427,16583086,17979899,19207974,22381586,18385888,16070302,16044598
 "22000" ,"Louisiana",5,CAINC30,240,"...","Total employment (number of jobs)","Number of jobs",2397993,2399216,2418747,2434481,2397386,2413797,2501135,2550836,2529953,2536560,2564944,2601174,2641657,2683615,2694755,2689751,2697447
 "22000" ,"Louisiana",5,CAINC30,250,"..."," Wage and salary employment","Number of jobs",2012821,2001044,2004485,2012261,1980787,1948257,2011614,2035781,1995691,1982491,1996055,2016911,2038049,2066426,2074947,2048289,2044106
 "22000" ,"Louisiana",5,CAINC30,260,"..."," Proprietors employment","Number of jobs",385172,398172,414262,422220,416599,465540,489521,515055,534262,554069,568889,584263,603608,617189,619808,641462,653341
 "22000" ,"Louisiana",5,CAINC30,270,"...","  Farm proprietors employment 6/","Number of jobs",28372,24596,23652,22945,22729,22254,24802,24769,24713,24442,24260,23858,23414,23342,23143,23116,22768
 "22000" ,"Louisiana",5,CAINC30,280,"...","  Nonfarm proprietors employment","Number of jobs",356800,373576,390610,399275,393870,443286,464719,490286,509549,529627,544629,560405,580194,593847,596665,618346,630573
 "22000" ,"Louisiana",5,CAINC30,290,"...","Average earnings per job (dollars)","Dollars",34875,36123,37260,38205,40495,43098,43883,46190,45740,47931,48135,49478,50531,52655,51743,50368,51131
