GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
 "25000" ,"Massachusetts",1,CAINC30,10,"...","Personal income (thousands of dollars)","Thousands of dollars",255190324,254257935,259814706,273400963,285647152,307760931,323214533,335476253,332151989,348418920,365526722,381949559,385338416,405089815,431571610,444812504,463930693
 "25000" ,"Massachusetts",1,CAINC30,45,"..."," Net earnings by place of residence","Thousands of dollars",177175246,176172038,178836608,189746769,195255484,206712353,216655332,221698446,220635473,234322939,244173389,252649726,255892533,265957688,281871940,290409123,304730305
 "25000" ,"Massachusetts",1,CAINC30,50,"..."," Personal current transfer receipts","Thousands of dollars",30483007,33082262,34947924,36364169,39059933,40932692,42627234,48671427,53317498,56144674,56406084,56770673,57325994,59085238,63372019,66150828,67100378
 "25000" ,"Massachusetts",1,CAINC30,60,"...","  Income maintenance benefits 1/","Thousands of dollars",2295493,2408450,3843083,4210396,4752220,5386147,4467399,4833132,5557605,5843995,5959293,6069960,6086013,6084563,6103141,6130905,6130037
 "25000" ,"Massachusetts",1,CAINC30,70,"...","  Unemployment insurance compensation","Thousands of dollars",1355445,2525701,2365361,1514662,1335438,1303582,1434585,2025319,4691836,4842676,3707601,3048622,2424659,1593134,1423354,1371984,1389877
 "25000" ,"Massachusetts",1,CAINC30,80,"...","  Retirement and other","Thousands of dollars",26832069,28148111,28739480,30639111,32972275,34242963,36725250,41812976,43068057,45458003,46739190,47652091,48815322,51407541,55845524,58647939,59580464
 "25000" ,"Massachusetts",1,CAINC30,90,"..."," Dividends, interest, and rent 2/","Thousands of dollars",47532071,45003635,46030174,47290025,51331735,60115886,63931967,65106380,58199018,57951307,64947249,72529160,72119889,80046889,86327651,88252553,92100010
 "25000" ,"Massachusetts",1,CAINC30,100,"..."," Population (persons) 3/","Number of persons",6397634,6417206,6422565,6412281,6403290,6410084,6431559,6468967,6517613,6564943,6612178,6659627,6711138,6757925,6794002,6823721,6859819
 "25000" ,"Massachusetts",1,CAINC30,110,"..."," Per capita personal income 4/","Dollars",39888,39621,40453,42637,44609,48012,50254,51859,50962,53073,55281,57353,57418,59943,63522,65186,67630
 "25000" ,"Massachusetts",1,CAINC30,120,"..."," Per capita net earnings 4/","Dollars",27694,27453,27845,29591,30493,32248,33686,34271,33852,35693,36928,37938,38130,39355,41488,42559,44422
 "25000" ,"Massachusetts",1,CAINC30,130,"..."," Per capita personal current transfer receipts 4/","Dollars",4765,5155,5441,5671,6100,6386,6628,7524,8181,8552,8531,8525,8542,8743,9328,9694,9782
 "25000" ,"Massachusetts",1,CAINC30,140,"...","  Per capita income maintenance benefits 4/","Dollars",359,375,598,657,742,840,695,747,853,890,901,911,907,900,898,898,894
 "25000" ,"Massachusetts",1,CAINC30,150,"...","  Per capita unemployment insurance compensation 4/","Dollars",212,394,368,236,209,203,223,313,720,738,561,458,361,236,210,201,203
 "25000" ,"Massachusetts",1,CAINC30,160,"...","  Per capita retirement and other 4/","Dollars",4194,4386,4475,4778,5149,5342,5710,6464,6608,6924,7069,7155,7274,7607,8220,8595,8685
 "25000" ,"Massachusetts",1,CAINC30,170,"..."," Per capita dividends, interest, and rent 4/","Dollars",7430,7013,7167,7375,8016,9378,9940,10064,8929,8827,9822,10891,10746,11845,12706,12933,13426
 "25000" ,"Massachusetts",1,CAINC30,180,"..."," Earnings by place of work","Thousands of dollars",203141126,201989101,204878500,218075918,224483237,237072529,248612357,254459587,252410013,267178413,275868451,285943448,293292427,304448383,322392646,332903768,349945311
 "25000" ,"Massachusetts",1,CAINC30,190,"...","  Wages and salaries","Thousands of dollars",151752080,148692375,150527751,158670697,163382972,172745038,184209823,189831902,181837492,187421072,195638259,203708747,209944627,221940467,235429892,242502694,254642061
