GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
 "23000" ,"Maine",1,CAINC30,10,"...","Personal income (thousands of dollars)","Thousands of dollars",36999715,38470958,40116605,42161695,43169921,45529112,47261815,49163504,49084869,50253606,52255645,53369870,53315835,55666566,57977802,59577149,62059956
 "23000" ,"Maine",1,CAINC30,45,"..."," Net earnings by place of residence","Thousands of dollars",23877837,24870000,25859346,27202316,27666622,29035226,29541791,29894903,29641224,30648891,31457800,32132230,32055279,33147198,34436068,35358072,36848980
 "23000" ,"Maine",1,CAINC30,50,"..."," Personal current transfer receipts","Thousands of dollars",6055836,6461024,7029261,7489176,8143272,8339163,8948568,10324038,11209371,11331429,11817182,11752985,11995944,12317958,12848103,13170746,13632672
 "23000" ,"Maine",1,CAINC30,60,"...","  Income maintenance benefits 1/","Thousands of dollars",553990,558297,619103,641299,701132,723369,844726,898434,1068930,1181355,1191207,1123373,1088258,1039769,1018182,989690,972460
 "23000" ,"Maine",1,CAINC30,70,"...","  Unemployment insurance compensation","Thousands of dollars",112111,156190,166446,137147,126201,116648,125473,180960,405701,420323,361379,302863,241020,156301,129321,113995,101943
 "23000" ,"Maine",1,CAINC30,80,"...","  Retirement and other","Thousands of dollars",5389735,5746537,6243712,6710730,7315939,7499146,7978369,9244644,9734740,9729751,10264596,10326749,10666666,11121888,11700600,12067061,12558269
 "23000" ,"Maine",1,CAINC30,90,"..."," Dividends, interest, and rent 2/","Thousands of dollars",7066042,7139934,7227998,7470203,7360027,8154723,8771456,8944563,8234274,8273286,8980663,9484655,9264612,10201410,10693631,11048331,11578304
 "23000" ,"Maine",1,CAINC30,100,"..."," Population (persons) 3/","Number of persons",1285692,1295960,1306513,1313688,1318787,1323619,1327040,1330509,1329590,1327568,1327968,1328101,1327975,1328903,1327787,1330232,1335907
 "23000" ,"Maine",1,CAINC30,110,"..."," Per capita personal income 4/","Dollars",28778,29685,30705,32094,32735,34397,35614,36951,36917,37854,39350,40185,40148,41889,43665,44787,46455
 "23000" ,"Maine",1,CAINC30,120,"..."," Per capita net earnings 4/","Dollars",18572,19190,19793,20707,20979,21936,22261,22469,22294,23086,23689,24194,24138,24943,25935,26580,27583
 "23000" ,"Maine",1,CAINC30,130,"..."," Per capita personal current transfer receipts 4/","Dollars",4710,4986,5380,5701,6175,6300,6743,7759,8431,8535,8899,8849,9033,9269,9676,9901,10205
 "23000" ,"Maine",1,CAINC30,140,"...","  Per capita income maintenance benefits 4/","Dollars",431,431,474,488,532,547,637,675,804,890,897,846,819,782,767,744,728
 "23000" ,"Maine",1,CAINC30,150,"...","  Per capita unemployment insurance compensation 4/","Dollars",87,121,127,104,96,88,95,136,305,317,272,228,181,118,97,86,76
 "23000" ,"Maine",1,CAINC30,160,"...","  Per capita retirement and other 4/","Dollars",4192,4434,4779,5108,5547,5666,6012,6948,7322,7329,7730,7776,8032,8369,8812,9071,9401
 "23000" ,"Maine",1,CAINC30,170,"..."," Per capita dividends, interest, and rent 4/","Dollars",5496,5509,5532,5686,5581,6161,6610,6723,6193,6232,6763,7142,6976,7677,8054,8306,8667
 "23000" ,"Maine",1,CAINC30,180,"..."," Earnings by place of work","Thousands of dollars",26114648,27166944,28261972,29737659,30299808,31853059,32515844,32991671,32676914,33749938,34171261,34910666,35368122,36489926,37947251,38956399,40633177
 "23000" ,"Maine",1,CAINC30,190,"...","  Wages and salaries","Thousands of dollars",18234742,18896219,19675924,20688756,21004152,22062060,23021808,23764395,23056102,23332590,23792439,24325064,24896002,25779777,26803107,27641264,28739044
 "23000" ,"Maine",1,CAINC30,200,"...","  Supplements to wages and salaries","Thousands of dollars",4368499,4593609,4797243,5118534,5310218,5708297,5850120,5922872,5864238,5936279,5881732,6034074,6213941,6397726,6663580,6856438,7118659
 "23000" ,"Maine",1,CAINC30,201,"...","   Employer contributions for employee pension and insurance funds 5/","Thousands of dollars",2937665,3196054,3372601,3637016,3794178,4104284,4184351,4210782,4194551,4189661,4086883,4183242,4313838,4479652,4642811,4823997,5019629
 "23000" ,"Maine",1,CAINC30,202,"...","   Employer contributions for government social insurance","Thousands of dollars",1430834,1397555,1424642,1481518,1516040,1604013,1665769,1712090,1669687,1746618,1794849,1850832,1900103,1918074,2020769,2032441,2099030
 "23000" ,"Maine",1,CAINC30,210,"...","  Proprietors' income","Thousands of dollars",3511407,3677116,3788805,3930369,3985438,4082702,3643916,3304404,3756574,4481069,4497090,4551528,4258179,4312423,4480564,4458697,4775474
 "23000" ,"Maine",1,CAINC30,220,"...","   Farm proprietors' income","Thousands of dollars",104672,47893,64854,82616,94661,84478,82821,95532,91918,176072,143695,135436,140091,97242,125454,38292,34604
 "23000" ,"Maine",1,CAINC30,230,"...","   Nonfarm proprietors' income","Thousands of dollars",3406735,3629223,3723951,3847753,3890777,3998224,3561095,3208872,3664656,4304997,4353395,4416092,4118088,4215181,4355110,4420405,4740870
 "23000" ,"Maine",1,CAINC30,240,"...","Total employment (number of jobs)","Number of jobs",787577,790609,794507,807625,809353,817622,828212,823517,800501,791331,794389,796903,803641,811156,816944,826971,835702
 "23000" ,"Maine",1,CAINC30,250,"..."," Wage and salary employment","Number of jobs",627326,626306,627164,632278,627819,632651,635466,635038,612929,607945,608840,611800,615236,619376,624837,632306,637895
 "23000" ,"Maine",1,CAINC30,260,"..."," Proprietors employment","Number of jobs",160251,164303,167343,175347,181534,184971,192746,188479,187572,183386,185549,185103,188405,191780,192107,194665,197807
 "23000" ,"Maine",1,CAINC30,270,"...","  Farm proprietors employment 6/","Number of jobs",7038,7099,6909,6731,6619,6472,7348,7309,7315,7381,7519,7450,7545,7548,7560,7550,7549
 "23000" ,"Maine",1,CAINC30,280,"...","  Nonfarm proprietors employment","Number of jobs",153213,157204,160434,168616,174915,178499,185398,181170,180257,176005,178030,177653,180860,184232,184547,187115,190258
 "23000" ,"Maine",1,CAINC30,290,"...","Average earnings per job (dollars)","Dollars",33158,34362,35572,36821,37437,38958,39260,40062,40821,42650,43016,43808,44010,44985,46450,47107,48622
 "23000" ,"Maine",1,CAINC30,300,"..."," Average wages and salaries","Dollars",29067,30171,31373,32721,33456,34872,36228,37422,37616,38379,39078,39760,40466,41622,42896,43715,45053
 "23000" ,"Maine",1,CAINC30,310,"..."," Average nonfarm proprietors' income","Dollars",22235,23086,23212,22820,22244,22399,19208,17712,20330,24460,24453,24858,22769,22880,23599,23624,24918
 "23001" ,"Androscoggin, ME",1,CAINC30,10,"...","Personal income (thousands of dollars)","Thousands of dollars",2734944,2895797,3032318,3114809,3178102,3330745,3476906,3621974,3624099,3658554,3756958,3822381,3793494,3900699,4056671,4116134,4292403
 "23001" ,"Androscoggin, ME",1,CAINC30,45,"..."," Net earnings by place of residence","Thousands of dollars",1811798,1913941,1999221,2082921,2092649,2203667,2259745,2283878,2213405,2223545,2254379,2317830,2293393,2344116,2446263,2458024,2571629
 "23001" ,"Androscoggin, ME",1,CAINC30,50,"..."," Personal current transfer receipts","Thousands of dollars",527557,563283,618120,651718,717482,722148,769190,887905,973517,968752,1013670,1000037,1009306,1028011,1068690,1093805,1132091
 "23001" ,"Androscoggin, ME",1,CAINC30,60,"...","  Income maintenance benefits 1/","Thousands of dollars",53703,55159,62244,64902,76889,78746,91043,98750,118596,129048,133804,126240,121059,116096,116057,114955,114609
 "23001" ,"Androscoggin, ME",1,CAINC30,70,"...","  Unemployment insurance compensation","Thousands of dollars",9800,13211,14236,12118,12069,10659,10745,17309,39581,41006,32627,27173,19814,11655,9559,8737,7147
 "23001" ,"Androscoggin, ME",1,CAINC30,80,"...","  Retirement and other","Thousands of dollars",464054,494913,541640,574698,628524,632743,667402,771846,815340,798698,847239,846624,868433,900260,943074,970113,1010335
 "23001" ,"Androscoggin, ME",1,CAINC30,90,"..."," Dividends, interest, and rent 2/","Thousands of dollars",395589,418573,414977,380170,367971,404930,447971,450191,437177,466257,488909,504514,490795,528572,541718,564305,588683
 "23001" ,"Androscoggin, ME",1,CAINC30,100,"..."," Population (persons) 3/","Number of persons",104260,105063,106140,106867,107352,107932,107739,108284,107830,107690,107395,107495,107271,107290,107104,107269,107651
 "23001" ,"Androscoggin, ME",1,CAINC30,110,"..."," Per capita personal income 4/","Dollars",26232,27562,28569,29147,29604,30860,32272,33449,33609,33973,34983,35559,35364,36357,37876,38372,39873
 "23001" ,"Androscoggin, ME",1,CAINC30,120,"..."," Per capita net earnings 4/","Dollars",17378,18217,18836,19491,19493,20417,20974,21092,20527,20648,20991,21562,21379,21848,22840,22915,23889
 "23001" ,"Androscoggin, ME",1,CAINC30,130,"..."," Per capita personal current transfer receipts 4/","Dollars",5060,5361,5824,6098,6683,6691,7139,8200,9028,8996,9439,9303,9409,9582,9978,10197,10516
 "23001" ,"Androscoggin, ME",1,CAINC30,140,"...","  Per capita income maintenance benefits 4/","Dollars",515,525,586,607,716,730,845,912,1100,1198,1246,1174,1129,1082,1084,1072,1065
 "23001" ,"Androscoggin, ME",1,CAINC30,150,"...","  Per capita unemployment insurance compensation 4/","Dollars",94,126,134,113,112,99,100,160,367,381,304,253,185,109,89,81,66
 "23001" ,"Androscoggin, ME",1,CAINC30,160,"...","  Per capita retirement and other 4/","Dollars",4451,4711,5103,5378,5855,5862,6195,7128,7561,7417,7889,7876,8096,8391,8805,9044,9385
 "23001" ,"Androscoggin, ME",1,CAINC30,170,"..."," Per capita dividends, interest, and rent 4/","Dollars",3794,3984,3910,3557,3428,3752,4158,4158,4054,4330,4552,4693,4575,4927,5058,5261,5468
 "23001" ,"Androscoggin, ME",1,CAINC30,180,"..."," Earnings by place of work","Thousands of dollars",1899286,2036089,2118164,2185954,2211075,2354642,2444572,2501734,2441031,2494127,2520860,2601722,2623474,2724183,2825960,2870501,2963977
 "23001" ,"Androscoggin, ME",1,CAINC30,190,"...","  Wages and salaries","Thousands of dollars",1394346,1494082,1550633,1596882,1619416,1713950,1797327,1855155,1791783,1820110,1857888,1909864,1941911,2041220,2104206,2153456,2210158
 "23001" ,"Androscoggin, ME",1,CAINC30,200,"...","  Supplements to wages and salaries","Thousands of dollars",324144,349174,358393,376992,396333,427209,444320,450024,443203,449679,446356,460332,469175,486673,503132,512728,528141
 "23001" ,"Androscoggin, ME",1,CAINC30,201,"...","   Employer contributions for employee pension and insurance funds 5/","Thousands of dollars",210754,234662,242395,259799,276953,299815,311051,313544,310313,309249,302444,311800,316914,331613,340672,351924,364392
 "23001" ,"Androscoggin, ME",1,CAINC30,202,"...","   Employer contributions for government social insurance","Thousands of dollars",113390,114512,115998,117193,119380,127394,133269,136480,132890,140430,143912,148532,152261,155060,162460,160804,163749
 "23001" ,"Androscoggin, ME",1,CAINC30,210,"...","  Proprietors' income","Thousands of dollars",180796,192833,209138,212080,195326,213483,202925,196555,206045,224338,216616,231526,212388,196290,218622,204317,225678
 "23001" ,"Androscoggin, ME",1,CAINC30,220,"...","   Farm proprietors' income","Thousands of dollars",13723,10848,21117,14943,3226,5317,12384,24404,16598,17221,20206,31270,31654,14321,30488,4386,3372
