GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
 "29000" ,"Missouri",4,CAINC30,10,"...","Personal income (thousands of dollars)","Thousands of dollars",162071530,165772524,171789865,180585546,186877759,198448157,208184505,219411774,215540550,220546596,229644330,240972818,242564511,251639897,260144612,265495137,274975821
 "29000" ,"Missouri",4,CAINC30,45,"..."," Net earnings by place of residence","Thousands of dollars",106631754,109883461,113590614,120282351,123700167,129390447,133660077,138605101,136268067,138831176,144677618,149661957,153775592,157145227,160687125,163412721,169087579
 "29000" ,"Missouri",4,CAINC30,50,"..."," Personal current transfer receipts","Thousands of dollars",24597995,26256695,27415485,28924394,30925914,32872531,35125334,39479141,42812166,45571750,46402359,46920959,47843830,49168417,51576101,53053493,54381147
 "29000" ,"Missouri",4,CAINC30,60,"...","  Income maintenance benefits 1/","Thousands of dollars",2007390,2200725,2374896,2588289,2785731,2831038,2949779,3201325,3810648,4261197,4370526,4409268,4435857,4334984,4314243,4201334,4104065
 "29000" ,"Missouri",4,CAINC30,70,"...","  Unemployment insurance compensation","Thousands of dollars",475210,730013,776457,577372,469270,433083,463567,716492,1840931,1930346,1490517,1104569,781545,451228,394553,319377,329903
 "29000" ,"Missouri",4,CAINC30,80,"...","  Retirement and other","Thousands of dollars",22115395,23325957,24264132,25758733,27670913,29608410,31711988,35561324,37160587,39380207,40541316,41407122,42626428,44382205,46867305,48532782,49947179
 "29000" ,"Missouri",4,CAINC30,90,"..."," Dividends, interest, and rent 2/","Thousands of dollars",30841781,29632368,30783766,31378801,32251678,36185179,39399094,41327532,36460317,36143670,38564353,44389902,40945089,45326253,47881386,49028923,51507095
 "29000" ,"Missouri",4,CAINC30,100,"..."," Population (persons) 3/","Number of persons",5641142,5674825,5709403,5747741,5790300,5842704,5887612,5923916,5961088,5995681,6010280,6023267,6041142,6058014,6072640,6091176,6113532
 "29000" ,"Missouri",4,CAINC30,110,"..."," Per capita personal income 4/","Dollars",28730,29212,30089,31419,32274,33965,35360,37038,36158,36784,38209,40007,40152,41538,42839,43587,44978
 "29000" ,"Missouri",4,CAINC30,120,"..."," Per capita net earnings 4/","Dollars",18903,19363,19895,20927,21363,22146,22702,23398,22860,23155,24072,24847,25455,25940,26461,26828,27658
 "29000" ,"Missouri",4,CAINC30,130,"..."," Per capita personal current transfer receipts 4/","Dollars",4360,4627,4802,5032,5341,5626,5966,6664,7182,7601,7720,7790,7920,8116,8493,8710,8895
 "29000" ,"Missouri",4,CAINC30,140,"...","  Per capita income maintenance benefits 4/","Dollars",356,388,416,450,481,485,501,540,639,711,727,732,734,716,710,690,671
 "29000" ,"Missouri",4,CAINC30,150,"...","  Per capita unemployment insurance compensation 4/","Dollars",84,129,136,100,81,74,79,121,309,322,248,183,129,74,65,52,54
 "29000" ,"Missouri",4,CAINC30,160,"...","  Per capita retirement and other 4/","Dollars",3920,4110,4250,4482,4779,5068,5386,6003,6234,6568,6745,6875,7056,7326,7718,7968,8170
 "29000" ,"Missouri",4,CAINC30,170,"..."," Per capita dividends, interest, and rent 4/","Dollars",5467,5222,5392,5459,5570,6193,6692,6976,6116,6028,6416,7370,6778,7482,7885,8049,8425
 "29000" ,"Missouri",4,CAINC30,180,"..."," Earnings by place of work","Thousands of dollars",124339711,128034301,132220440,139547593,144010271,151088435,155996277,162284599,159108456,161459170,165318865,171287414,177942042,181947147,186764318,189848373,196439422
 "29000" ,"Missouri",4,CAINC30,190,"...","  Wages and salaries","Thousands of dollars",91859770,93523371,95759629,99434505,103893111,108836745,113862699,118981424,113694862,113886441,116481438,121318793,123769887,128535162,134560004,138064735,143084038
 "29000" ,"Missouri",4,CAINC30,200,"...","  Supplements to wages and salaries","Thousands of dollars",19890513,21276791,22448026,23743322,25020171,26456195,27201325,27984490,28297319,28751104,28175133,28944740,31089588,30929756,32636494,31153652,32095296
 "29000" ,"Missouri",4,CAINC30,201,"...","   Employer contributions for employee pension and insurance funds 5/","Thousands of dollars",13322393,14582556,15520742,16599749,17501447,18515108,18935311,19341672,19943480,20447862,19578640,20075431,22011597,21609444,22800592,21168632,21938090
 "29000" ,"Missouri",4,CAINC30,202,"...","   Employer contributions for government social insurance","Thousands of dollars",6568120,6694235,6927284,7143573,7518724,7941087,8266014,8642818,8353839,8303242,8596493,8869309,9077991,9320312,9835902,9985020,10157206
 "29000" ,"Missouri",4,CAINC30,210,"...","  Proprietors' income","Thousands of dollars",12589428,13234139,14012785,16369766,15096989,15795495,14932253,15318685,17116275,18821625,20662294,21023881,23082567,22482229,19567820,20629986,21260088
 "29000" ,"Missouri",4,CAINC30,220,"...","   Farm proprietors' income","Thousands of dollars",560676,148779,774064,2054736,1185160,1052426,1100268,1729130,1317548,1166754,1866989,947833,2563320,2723344,286663,581285,728982
 "29000" ,"Missouri",4,CAINC30,230,"...","   Nonfarm proprietors' income","Thousands of dollars",12028752,13085360,13238721,14315030,13911829,14743069,13831985,13589555,15798727,17654871,18795305,20076048,20519247,19758885,19281157,20048701,20531106
 "29000" ,"Missouri",4,CAINC30,240,"...","Total employment (number of jobs)","Number of jobs",3451902,3437494,3444535,3478558,3533315,3586453,3636220,3625612,3522652,3475301,3506571,3528129,3565922,3597358,3656471,3702082,3738168
 "29000" ,"Missouri",4,CAINC30,250,"..."," Wage and salary employment","Number of jobs",2831268,2810287,2801078,2811762,2839426,2877047,2893386,2890129,2779356,2739181,2744993,2776672,2808712,2834816,2886985,2925546,2948639
 "29000" ,"Missouri",4,CAINC30,260,"..."," Proprietors employment","Number of jobs",620634,627207,643457,666796,693889,709406,742834,735483,743296,736120,761578,751457,757210,762542,769486,776536,789529
 "29000" ,"Missouri",4,CAINC30,270,"...","  Farm proprietors employment 6/","Number of jobs",111581,105730,101400,98668,97237,94909,96466,95448,94323,93508,92374,90260,90833,89692,89039,89026,89096
 "29000" ,"Missouri",4,CAINC30,280,"...","  Nonfarm proprietors employment","Number of jobs",509053,521477,542057,568128,596652,614497,646368,640035,648973,642612,669204,661197,666377,672850,680447,687510,700433
 "29000" ,"Missouri",4,CAINC30,290,"...","Average earnings per job (dollars)","Dollars",36021,37246,38386,40117,40758,42128,42901,44761,45167,46459,47145,48549,49901,50578,51078,51282,52550
 "29000" ,"Missouri",4,CAINC30,300,"..."," Average wages and salaries","Dollars",32445,33279,34187,35364,36589,37829,39353,41168,40907,41577,42434,43692,44066,45342,46609,47193,48525
 "29000" ,"Missouri",4,CAINC30,310,"..."," Average nonfarm proprietors' income","Dollars",23630,25093,24423,25197,23316,23992,21400,21233,24344,27474,28086,30363,30792,29366,28336,29161,29312
 "29001" ,"Adair, MO",4,CAINC30,10,"...","Personal income (thousands of dollars)","Thousands of dollars",527416,528142,530839,558753,574839,603020,631937,674396,711051,695913,728162,734555,751085,767033,789029,786610,813014
 "29001" ,"Adair, MO",4,CAINC30,45,"..."," Net earnings by place of residence","Thousands of dollars",309051,316548,320719,339634,358903,375494,377943,375092,388053,389905,390862,396611,409807,410283,408296,405141,417442
 "29001" ,"Adair, MO",4,CAINC30,50,"..."," Personal current transfer receipts","Thousands of dollars",109785,115540,118967,123819,129458,135394,145238,165583,177876,187467,192498,196854,197321,202719,210049,198999,204191
 "29001" ,"Adair, MO",4,CAINC30,60,"...","  Income maintenance benefits 1/","Thousands of dollars",7130,7886,8690,9479,9705,9980,10877,11148,13464,15247,16118,15807,15823,15476,15910,15809,15236
 "29001" ,"Adair, MO",4,CAINC30,70,"...","  Unemployment insurance compensation","Thousands of dollars",2867,3355,3737,3397,2387,2419,2884,5972,6137,6151,5334,3833,2724,1588,1451,1312,1214
 "29001" ,"Adair, MO",4,CAINC30,80,"...","  Retirement and other","Thousands of dollars",99788,104299,106540,110943,117366,122995,131477,148463,158275,166069,171046,177214,178774,185655,192688,181878,187741
