GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
 "30000" ,"Montana",7,CAINC30,10,"...","Personal income (thousands of dollars)","Thousands of dollars",21862017,22490762,24082138,25995029,27955582,30322712,32669862,34418881,33729814,35558220,38051895,40442780,40666033,42725822,44864716,45747225,47677145
 "30000" ,"Montana",7,CAINC30,45,"..."," Net earnings by place of residence","Thousands of dollars",12942946,13519389,14524462,15875342,17190841,18257272,19466727,20084569,19737050,20879972,22505813,23948912,24335594,25097856,25890528,25823919,26662593
 "30000" ,"Montana",7,CAINC30,50,"..."," Personal current transfer receipts","Thousands of dollars",3670612,3808011,3980726,4243266,4541607,4916501,5246929,5965292,6465068,7059069,6989964,7186539,7369740,7705586,8089251,8728836,9336341
 "30000" ,"Montana",7,CAINC30,60,"...","  Income maintenance benefits 1/","Thousands of dollars",283738,311394,350586,359546,386214,392702,409152,427677,518951,589560,619771,624509,636126,626620,623616,630723,626925
 "30000" ,"Montana",7,CAINC30,70,"...","  Unemployment insurance compensation","Thousands of dollars",82044,95686,103711,81351,69020,68722,72997,119113,307620,329659,246918,217336,168517,115255,120142,126522,112042
 "30000" ,"Montana",7,CAINC30,80,"...","  Retirement and other","Thousands of dollars",3304830,3400931,3526429,3802369,4086373,4455077,4764780,5418502,5638497,6139850,6123275,6344694,6565097,6963711,7345493,7971591,8597374
 "30000" ,"Montana",7,CAINC30,90,"..."," Dividends, interest, and rent 2/","Thousands of dollars",5248459,5163362,5576950,5876421,6223134,7148939,7956206,8369020,7527696,7619179,8556118,9307329,8960699,9922380,10884937,11194470,11678211
 "30000" ,"Montana",7,CAINC30,100,"..."," Population (persons) 3/","Number of persons",906961,911667,919630,930009,940102,952692,964706,976415,983982,990507,996866,1003522,1011921,1019931,1028317,1038656,1050493
 "30000" ,"Montana",7,CAINC30,110,"..."," Per capita personal income 4/","Dollars",24105,24670,26187,27951,29737,31828,33865,35250,34279,35899,38172,40301,40187,41891,43629,44045,45385
 "30000" ,"Montana",7,CAINC30,120,"..."," Per capita net earnings 4/","Dollars",14271,14829,15794,17070,18286,19164,20179,20570,20058,21080,22577,23865,24049,24607,25178,24863,25381
 "30000" ,"Montana",7,CAINC30,130,"..."," Per capita personal current transfer receipts 4/","Dollars",4047,4177,4329,4563,4831,5161,5439,6109,6570,7127,7012,7161,7283,7555,7866,8404,8888
 "30000" ,"Montana",7,CAINC30,140,"...","  Per capita income maintenance benefits 4/","Dollars",313,342,381,387,411,412,424,438,527,595,622,622,629,614,606,607,597
 "30000" ,"Montana",7,CAINC30,150,"...","  Per capita unemployment insurance compensation 4/","Dollars",90,105,113,87,73,72,76,122,313,333,248,217,167,113,117,122,107
 "30000" ,"Montana",7,CAINC30,160,"...","  Per capita retirement and other 4/","Dollars",3644,3730,3835,4089,4347,4676,4939,5549,5730,6199,6143,6322,6488,6828,7143,7675,8184
 "30000" ,"Montana",7,CAINC30,170,"..."," Per capita dividends, interest, and rent 4/","Dollars",5787,5664,6064,6319,6620,7504,8247,8571,7650,7692,8583,9275,8855,9728,10585,10778,11117
 "30000" ,"Montana",7,CAINC30,180,"..."," Earnings by place of work","Thousands of dollars",14822813,15512293,16621547,18108889,19625554,20897356,22307518,22987541,22575889,23748923,25114590,26461356,27225171,28035926,29047330,29095137,30057355
