GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
 "33000" ,"New Hampshire",1,CAINC30,10,"...","Personal income (thousands of dollars)","Thousands of dollars",46376182,47155617,48122293,51035366,52919603,56713350,58904397,60395578,59597335,62306285,65443284,68557565,68116942,70506468,73430001,76247448,80122027
 "33000" ,"New Hampshire",1,CAINC30,45,"..."," Net earnings by place of residence","Thousands of dollars",33814733,34514668,35335112,37305799,38784242,41174970,41939034,42058136,41337887,43687786,45337231,46717828,46369478,47651201,49418894,51176912,53997019
 "33000" ,"New Hampshire",1,CAINC30,50,"..."," Personal current transfer receipts","Thousands of dollars",4653486,5067196,5195526,5682200,5926989,6328796,6869386,7952662,8574481,9136129,9073680,9215649,9397017,10010382,10751187,11413205,11843590
 "33000" ,"New Hampshire",1,CAINC30,60,"...","  Income maintenance benefits 1/","Thousands of dollars",247474,276385,305382,323294,364846,388353,407666,545167,737989,818930,823582,819765,660024,633256,619381,600759,588003
 "33000" ,"New Hampshire",1,CAINC30,70,"...","  Unemployment insurance compensation","Thousands of dollars",64672,152487,153775,96593,83986,88336,100891,150840,396098,364350,221922,186375,141469,106250,88658,76955,71126
 "33000" ,"New Hampshire",1,CAINC30,80,"...","  Retirement and other","Thousands of dollars",4341340,4638324,4736369,5262313,5478157,5852107,6360829,7256655,7440394,7952849,8028176,8209509,8595524,9270876,10043148,10735491,11184461
 "33000" ,"New Hampshire",1,CAINC30,90,"..."," Dividends, interest, and rent 2/","Thousands of dollars",7907963,7573753,7591655,8047367,8208372,9209584,10095977,10384780,9684967,9482370,11032373,12624088,12350447,12844885,13259920,13657331,14281418
 "33000" ,"New Hampshire",1,CAINC30,100,"..."," Population (persons) 3/","Number of persons",1255517,1269089,1279840,1290121,1298492,1308389,1312540,1315906,1316102,1316700,1318345,1320923,1322622,1328684,1330134,1335015,1342795
 "33000" ,"New Hampshire",1,CAINC30,110,"..."," Per capita personal income 4/","Dollars",36938,37157,37600,39559,40755,43346,44878,45897,45283,47320,49640,51901,51501,53065,55205,57114,59668
 "33000" ,"New Hampshire",1,CAINC30,120,"..."," Per capita net earnings 4/","Dollars",26933,27196,27609,28917,29869,31470,31953,31961,31409,33180,34390,35368,35059,35863,37153,38334,40212
 "33000" ,"New Hampshire",1,CAINC30,130,"..."," Per capita personal current transfer receipts 4/","Dollars",3706,3993,4060,4404,4565,4837,5234,6043,6515,6939,6883,6977,7105,7534,8083,8549,8820
 "33000" ,"New Hampshire",1,CAINC30,140,"...","  Per capita income maintenance benefits 4/","Dollars",197,218,239,251,281,297,311,414,561,622,625,621,499,477,466,450,438
 "33000" ,"New Hampshire",1,CAINC30,150,"...","  Per capita unemployment insurance compensation 4/","Dollars",52,120,120,75,65,68,77,115,301,277,168,141,107,80,67,58,53
 "33000" ,"New Hampshire",1,CAINC30,160,"...","  Per capita retirement and other 4/","Dollars",3458,3655,3701,4079,4219,4473,4846,5515,5653,6040,6090,6215,6499,6977,7550,8041,8329
 "33000" ,"New Hampshire",1,CAINC30,170,"..."," Per capita dividends, interest, and rent 4/","Dollars",6299,5968,5932,6238,6321,7039,7692,7892,7359,7202,8368,9557,9338,9667,9969,10230,10636
 "33000" ,"New Hampshire",1,CAINC30,180,"..."," Earnings by place of work","Thousands of dollars",33074729,33965031,34936065,36886421,38540994,40950003,41512853,41639400,41608188,43477751,44476174,45554317,46121083,47834422,49304330,50650779,53180264
 "33000" ,"New Hampshire",1,CAINC30,190,"...","  Wages and salaries","Thousands of dollars",22310997,22563413,23374926,24859263,25962935,27442637,28502428,29108395,28022264,28465514,29458632,30470786,31223871,33028796,34472942,35693134,37058155
 "33000" ,"New Hampshire",1,CAINC30,200,"...","  Supplements to wages and salaries","Thousands of dollars",4713403,4943929,5265099,5622441,5950155,6182887,6436058,6683342,7025733,7172566,7427415,7128117,7454565,7602247,7914075,7762036,8109827
 "33000" ,"New Hampshire",1,CAINC30,201,"...","   Employer contributions for employee pension and insurance funds 5/","Thousands of dollars",3177560,3393162,3637485,3859421,4131546,4302058,4494085,4679655,5005818,5063342,5212287,4850685,5187514,5291378,5552696,5338883,5560720
 "33000" ,"New Hampshire",1,CAINC30,202,"...","   Employer contributions for government social insurance","Thousands of dollars",1535843,1550767,1627614,1763020,1818609,1880829,1941973,2003687,2019915,2109224,2215128,2277432,2267051,2310869,2361379,2423153,2549107
 "33000" ,"New Hampshire",1,CAINC30,210,"...","  Proprietors' income","Thousands of dollars",6050329,6457689,6296040,6404717,6627904,7324479,6574367,5847663,6560191,7839671,7590127,7955414,7442647,7203379,6917313,7195609,8012282
 "33000" ,"New Hampshire",1,CAINC30,220,"...","   Farm proprietors' income","Thousands of dollars",5195,-1648,9445,19836,18297,6748,2742,21517,600,17336,17753,31993,37634,20143,35623,-2446,-3505
 "33000" ,"New Hampshire",1,CAINC30,230,"...","   Nonfarm proprietors' income","Thousands of dollars",6045134,6459337,6286595,6384881,6609607,7317731,6571625,5826146,6559591,7822335,7572374,7923421,7405013,7183236,6881690,7198055,8015787
 "33000" ,"New Hampshire",1,CAINC30,240,"...","Total employment (number of jobs)","Number of jobs",788168,788484,797648,812823,825600,835582,848001,844862,820809,813707,818789,824361,835032,844623,860799,873508,883304
 "33000" ,"New Hampshire",1,CAINC30,250,"..."," Wage and salary employment","Number of jobs",640657,635883,637305,643788,648879,655750,658831,656967,633060,629907,633733,640426,647086,655565,666446,676434,682227
 "33000" ,"New Hampshire",1,CAINC30,260,"..."," Proprietors employment","Number of jobs",147511,152601,160343,169035,176721,179832,189170,187895,187749,183800,185056,183935,187946,189058,194353,197074,201077
 "33000" ,"New Hampshire",1,CAINC30,270,"...","  Farm proprietors employment 6/","Number of jobs",3264,3481,3404,3328,3327,3265,3983,3979,3997,4048,4041,4071,4124,4127,4147,4141,4141
 "33000" ,"New Hampshire",1,CAINC30,280,"...","  Nonfarm proprietors employment","Number of jobs",144247,149120,156939,165707,173394,176567,185187,183916,183752,179752,181015,179864,183822,184931,190206,192933,196936
 "33000" ,"New Hampshire",1,CAINC30,290,"...","Average earnings per job (dollars)","Dollars",41964,43076,43799,45381,46682,49008,48954,49285,50692,53432,54319,55260,55233,56634,57277,57985,60206
 "33000" ,"New Hampshire",1,CAINC30,300,"..."," Average wages and salaries","Dollars",34825,35484,36678,38614,40012,41849,43262,44307,44265,45190,46484,47579,48253,50382,51727,52767,54319
 "33000" ,"New Hampshire",1,CAINC30,310,"..."," Average nonfarm proprietors' income","Dollars",41908,43316,40058,38531,38119,41444,35486,31678,35698,43517,41833,44052,40284,38843,36180,37309,40702
 "33001" ,"Belknap, NH",1,CAINC30,10,"...","Personal income (thousands of dollars)","Thousands of dollars",1982546,2023557,2076955,2207866,2271276,2404069,2524840,2617436,2579990,2664096,2833472,3003805,3027242,3151032,3321434,3429665,3588289
 "33001" ,"Belknap, NH",1,CAINC30,45,"..."," Net earnings by place of residence","Thousands of dollars",1328393,1391516,1447317,1513199,1558162,1635182,1681392,1682198,1633449,1691667,1769947,1842330,1865357,1926619,2001791,2051401,2154543
 "33001" ,"Belknap, NH",1,CAINC30,50,"..."," Personal current transfer receipts","Thousands of dollars",257558,279087,285253,305895,325047,351047,378607,433085,473532,498242,493616,510061,528900,557960,599785,631408,654148
