GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
 "36000" ,"New York",2,CAINC30,10,"...","Personal income (thousands of dollars)","Thousands of dollars",709931446,707720011,718701935,753191245,787298364,847001865,911071359,927177224,914586318,954364506,1009303325,1065474040,1081132827,1125896581,1172712896,1208345688,1281082420
 "36000" ,"New York",2,CAINC30,45,"..."," Net earnings by place of residence","Thousands of dollars",482614598,480489439,483415394,502115181,515144915,548673005,584011767,586952025,579300445,608010395,640040799,671197655,679972025,701989701,724318276,747517830,785384913
 "36000" ,"New York",2,CAINC30,50,"..."," Personal current transfer receipts","Thousands of dollars",107212678,116585763,121503312,130873782,130325537,137493181,143682569,157071275,172061946,182471397,185632567,184288360,185876168,190084812,200653537,205878013,226704494
 "36000" ,"New York",2,CAINC30,60,"...","  Income maintenance benefits 1/","Thousands of dollars",12110574,12927557,13408761,14311913,15125649,15670566,15931235,16626672,19668107,21121007,21372103,21849877,22132006,22241594,22463108,22394100,22109230
 "36000" ,"New York",2,CAINC30,70,"...","  Unemployment insurance compensation","Thousands of dollars",2657539,4271034,3947968,2642919,2435845,2258186,2179568,3330039,8421043,9273906,7491496,6933253,4998327,2546150,2312728,2181622,2118248
 "36000" ,"New York",2,CAINC30,80,"...","  Retirement and other","Thousands of dollars",92444565,99387172,104146583,113918950,112764043,119564429,125571766,137114564,143972796,152076484,156768968,155505230,158745835,165297068,175877701,181302291,202477016
 "36000" ,"New York",2,CAINC30,90,"..."," Dividends, interest, and rent 2/","Thousands of dollars",120104170,110644809,113783229,120202282,141827912,160835679,183377023,183153924,163223927,163882714,183629959,209988025,215284634,233822068,247741083,254949845,268993013
 "36000" ,"New York",2,CAINC30,100,"..."," Population (persons) 3/","Number of persons",19082838,19137800,19175939,19171567,19132610,19104631,19132335,19212436,19307066,19405185,19526372,19625409,19712514,19773580,19819347,19836286,19849399
 "36000" ,"New York",2,CAINC30,110,"..."," Per capita personal income 4/","Dollars",37203,36980,37479,39287,41150,44335,47619,48259,47371,49181,51689,54291,54845,56939,59170,60916,64540
 "36000" ,"New York",2,CAINC30,120,"..."," Per capita net earnings 4/","Dollars",25291,25107,25209,26191,26925,28719,30525,30551,30005,31332,32778,34200,34494,35501,36546,37684,39567
