GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
 "40000" ,"Oklahoma",6,CAINC30,10,"...","Personal income (thousands of dollars)","Thousands of dollars",88354068,90233074,94303299,101714386,111052252,123411849,127818682,141463858,131404805,137327475,147778317,158235715,165860357,176376708,172636230,165106975,174435402
 "40000" ,"Oklahoma",6,CAINC30,45,"..."," Net earnings by place of residence","Thousands of dollars",56865337,58302166,61350954,67005903,73618617,81381540,81708418,91442913,82046222,86101987,93285764,100501256,108401763,115901534,110423326,101524783,108717604
 "40000" ,"Oklahoma",6,CAINC30,50,"..."," Personal current transfer receipts","Thousands of dollars",14132195,15097978,16091303,16998988,18260467,20003547,21446906,24058330,25944726,27687504,28023322,28641797,29258446,30268580,31362664,32420662,33294989
 "40000" ,"Oklahoma",6,CAINC30,60,"...","  Income maintenance benefits 1/","Thousands of dollars",1289621,1462455,1683314,1798176,1964377,2037005,2101050,2252953,2684773,2973765,3031960,2999142,3084049,3029510,3065997,3124979,3065770
 "40000" ,"Oklahoma",6,CAINC30,70,"...","  Unemployment insurance compensation","Thousands of dollars",197343,335118,396995,246445,179320,157879,179686,255116,885487,952081,614740,475344,340282,242312,352346,381395,257896
 "40000" ,"Oklahoma",6,CAINC30,80,"...","  Retirement and other","Thousands of dollars",12645231,13300405,14010994,14954367,16116770,17808663,19166170,21550261,22374466,23761658,24376622,25167311,25834115,26996758,27944321,28914288,29971323
 "40000" ,"Oklahoma",6,CAINC30,90,"..."," Dividends, interest, and rent 2/","Thousands of dollars",17356536,16832930,16861042,17709495,19173168,22026762,24663358,25962615,23413857,23537984,26469231,29092662,28200148,30206594,30850240,31161530,32422809
 "40000" ,"Oklahoma",6,CAINC30,100,"..."," Population (persons) 3/","Number of persons",3467100,3489080,3504892,3525233,3548597,3594090,3634349,3668976,3717572,3759529,3785232,3815298,3849840,3875008,3904353,3921207,3930864
 "40000" ,"Oklahoma",6,CAINC30,110,"..."," Per capita personal income 4/","Dollars",25484,25862,26906,28853,31295,34337,35170,38557,35347,36528,39041,41474,43082,45516,44216,42106,44376
 "40000" ,"Oklahoma",6,CAINC30,120,"..."," Per capita net earnings 4/","Dollars",16401,16710,17504,19008,20746,22643,22482,24923,22070,22902,24645,26342,28157,29910,28282,25891,27657
 "40000" ,"Oklahoma",6,CAINC30,130,"..."," Per capita personal current transfer receipts 4/","Dollars",4076,4327,4591,4822,5146,5566,5901,6557,6979,7365,7403,7507,7600,7811,8033,8268,8470
 "40000" ,"Oklahoma",6,CAINC30,140,"...","  Per capita income maintenance benefits 4/","Dollars",372,419,480,510,554,567,578,614,722,791,801,786,801,782,785,797,780
 "40000" ,"Oklahoma",6,CAINC30,150,"...","  Per capita unemployment insurance compensation 4/","Dollars",57,96,113,70,51,44,49,70,238,253,162,125,88,63,90,97,66
 "40000" ,"Oklahoma",6,CAINC30,160,"...","  Per capita retirement and other 4/","Dollars",3647,3812,3998,4242,4542,4955,5274,5874,6019,6320,6440,6596,6710,6967,7157,7374,7625
 "40000" ,"Oklahoma",6,CAINC30,170,"..."," Per capita dividends, interest, and rent 4/","Dollars",5006,4824,4811,5024,5403,6129,6786,7076,6298,6261,6993,7625,7325,7795,7901,7947,8248
 "40000" ,"Oklahoma",6,CAINC30,180,"..."," Earnings by place of work","Thousands of dollars",62898658,64571963,67855959,74053812,81182717,89613091,90453078,100693765,91216862,95579384,102451534,110266758,119824604,127659297,122286863,113262647,121052759
 "40000" ,"Oklahoma",6,CAINC30,190,"...","  Wages and salaries","Thousands of dollars",44622573,45163471,46229981,48461585,51103311,56331289,59591186,63295061,61158965,62362798,66167722,70150020,72301874,75556493,76910250,75524313,77911726
 "40000" ,"Oklahoma",6,CAINC30,200,"...","  Supplements to wages and salaries","Thousands of dollars",10237954,10762045,11310888,12202019,13002663,13573036,13946480,14234947,14428704,15553033,16217001,16706874,17741479,18459126,19121418,18676375,19354708
