GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
 "45000" ,"South Carolina",5,CAINC30,10,"...","Personal income (thousands of dollars)","Thousands of dollars",104652305,107527007,111166365,117506671,124488686,134578917,143317277,149235554,145609080,150451812,159091031,167538766,169973991,181107914,192879481,199941701,209179573
 "45000" ,"South Carolina",5,CAINC30,45,"..."," Net earnings by place of residence","Thousands of dollars",68102083,69755883,72613285,76173537,80081013,85057889,89583818,90913752,86920481,89565429,95096182,101463299,103084452,108632807,115382036,119535046,125417926
 "45000" ,"South Carolina",5,CAINC30,50,"..."," Personal current transfer receipts","Thousands of dollars",17245147,18725463,19681875,21286553,22884841,24757747,26353773,30382800,33577621,36357097,36748461,36916570,37926051,40224007,42755459,44268421,45646036
 "45000" ,"South Carolina",5,CAINC30,60,"...","  Income maintenance benefits 1/","Thousands of dollars",1679968,2020920,2164249,2337496,2616182,2707955,2718181,3008690,3740754,4190955,4356539,4188556,4252961,4211680,4221085,4047922,3905999
 "45000" ,"South Carolina",5,CAINC30,70,"...","  Unemployment insurance compensation","Thousands of dollars",397276,572651,569833,403574,371407,379547,417456,710816,1764393,1692053,1225062,874903,512858,232198,204832,198901,186401
 "45000" ,"South Carolina",5,CAINC30,80,"...","  Retirement and other","Thousands of dollars",15167903,16131892,16947793,18545483,19897252,21670245,23218136,26663294,28072474,30474089,31166860,31853111,33160232,35780129,38329542,40021598,41553636
 "45000" ,"South Carolina",5,CAINC30,90,"..."," Dividends, interest, and rent 2/","Thousands of dollars",19305075,19045661,18871205,20046581,21522832,24763281,27379686,27939002,25110978,24529286,27246388,29158897,28963488,32251100,34741986,36138234,38115611
 "45000" ,"South Carolina",5,CAINC30,100,"..."," Population (persons) 3/","Number of persons",4064995,4107795,4150297,4210921,4270150,4357847,4444110,4528996,4589872,4635834,4672744,4719009,4765862,4824758,4892423,4959822,5024369
 "45000" ,"South Carolina",5,CAINC30,110,"..."," Per capita personal income 4/","Dollars",25745,26176,26785,27905,29153,30882,32249,32951,31724,32454,34047,35503,35665,37537,39424,40312,41633
 "45000" ,"South Carolina",5,CAINC30,120,"..."," Per capita net earnings 4/","Dollars",16753,16981,17496,18090,18754,19518,20158,20074,18937,19320,20351,21501,21630,22516,23584,24101,24962
 "45000" ,"South Carolina",5,CAINC30,130,"..."," Per capita personal current transfer receipts 4/","Dollars",4242,4559,4742,5055,5359,5681,5930,6709,7316,7843,7864,7823,7958,8337,8739,8925,9085
 "45000" ,"South Carolina",5,CAINC30,140,"...","  Per capita income maintenance benefits 4/","Dollars",413,492,521,555,613,621,612,664,815,904,932,888,892,873,863,816,777
 "45000" ,"South Carolina",5,CAINC30,150,"...","  Per capita unemployment insurance compensation 4/","Dollars",98,139,137,96,87,87,94,157,384,365,262,185,108,48,42,40,37
 "45000" ,"South Carolina",5,CAINC30,160,"...","  Per capita retirement and other 4/","Dollars",3731,3927,4084,4404,4660,4973,5224,5887,6116,6574,6670,6750,6958,7416,7834,8069,8270
 "45000" ,"South Carolina",5,CAINC30,170,"..."," Per capita dividends, interest, and rent 4/","Dollars",4749,4636,4547,4761,5040,5682,6161,6169,5471,5291,5831,6179,6077,6685,7101,7286,7586
 "45000" ,"South Carolina",5,CAINC30,180,"..."," Earnings by place of work","Thousands of dollars",75459907,77336427,80545744,84509269,88706192,94347282,99022347,100597038,96258294,99174229,103938327,110349625,113709376,119778984,126949435,131154026,137637629
 "45000" ,"South Carolina",5,CAINC30,190,"...","  Wages and salaries","Thousands of dollars",56519421,57693395,59693464,62832932,65939349,70159090,73797913,75235600,72109546,73323840,75894639,79010444,81454801,85446311,90467202,94287669,98905616
 "45000" ,"South Carolina",5,CAINC30,200,"...","  Supplements to wages and salaries","Thousands of dollars",12523254,13069314,14204950,14813601,15805153,16829037,18036411,19148366,18339574,18229064,19673724,19395595,20597783,21792311,22850072,22924433,23905369
 "45000" ,"South Carolina",5,CAINC30,201,"...","   Employer contributions for employee pension and insurance funds 5/","Thousands of dollars",8209751,8633154,9557429,9970537,10781199,11351550,12377537,13327098,12715511,12528823,13550887,13138425,14191811,15100467,15829189,15764739,16419388
 "45000" ,"South Carolina",5,CAINC30,202,"...","   Employer contributions for government social insurance","Thousands of dollars",4313503,4436160,4647521,4843064,5023954,5477487,5658874,5821268,5624063,5700241,6122837,6257170,6405972,6691844,7020883,7159694,7485981
 "45000" ,"South Carolina",5,CAINC30,210,"...","  Proprietors' income","Thousands of dollars",6417232,6573718,6647330,6862736,6961690,7359155,7188023,6213072,5809174,7621325,8369964,11943586,11656792,12540362,13632161,13941924,14826644
 "45000" ,"South Carolina",5,CAINC30,220,"...","   Farm proprietors' income","Thousands of dollars",479834,67987,389810,468265,487871,304602,124112,271672,319555,316452,218388,258425,562271,72956,-52827,5889,6174
 "45000" ,"South Carolina",5,CAINC30,230,"...","   Nonfarm proprietors' income","Thousands of dollars",5937398,6505731,6257520,6394471,6473819,7054553,7063911,5941400,5489619,7304873,8151576,11685161,11094521,12467406,13684988,13936035,14820470
 "45000" ,"South Carolina",5,CAINC30,240,"...","Total employment (number of jobs)","Number of jobs",2256571,2248041,2263771,2305664,2356291,2418626,2482325,2472423,2367886,2357627,2427409,2453282,2500792,2564432,2636330,2699580,2749060
 "45000" ,"South Carolina",5,CAINC30,250,"..."," Wage and salary employment","Number of jobs",1925645,1908080,1909169,1929535,1953388,1995553,2027577,2013435,1902785,1892252,1913077,1947212,1985126,2032855,2090400,2133752,2173815
 "45000" ,"South Carolina",5,CAINC30,260,"..."," Proprietors employment","Number of jobs",330926,339961,354602,376129,402903,423073,454748,458988,465101,465375,514332,506070,515666,531577,545930,565828,575245
 "45000" ,"South Carolina",5,CAINC30,270,"...","  Farm proprietors employment 6/","Number of jobs",25014,21982,21304,20889,21045,20780,21785,22398,22358,22162,22235,21583,21372,21039,21047,21108,20930
 "45000" ,"South Carolina",5,CAINC30,280,"...","  Nonfarm proprietors employment","Number of jobs",305912,317979,333298,355240,381858,402293,432963,436590,442743,443213,492097,484487,494294,510538,524883,544720,554315
 "45000" ,"South Carolina",5,CAINC30,290,"...","Average earnings per job (dollars)","Dollars",33440,34402,35580,36653,37647,39009,39891,40688,40652,42065,42819,44980,45469,46708,48154,48583,50067
 "45000" ,"South Carolina",5,CAINC30,300,"..."," Average wages and salaries","Dollars",29351,30236,31267,32564,33756,35158,36397,37367,37897,38750,39672,40576,41033,42033,43277,44189,45499
 "45000" ,"South Carolina",5,CAINC30,310,"..."," Average nonfarm proprietors' income","Dollars",19409,20460,18775,18000,16953,17536,16315,13609,12399,16482,16565,24119,22445,24420,26072,25584,26737
 "45001" ,"Abbeville, SC",5,CAINC30,10,"...","Personal income (thousands of dollars)","Thousands of dollars",610882,566421,535561,570767,581642,604466,625881,660785,658319,674204,694149,689389,702030,731558,767088,785632,816920
 "45001" ,"Abbeville, SC",5,CAINC30,45,"..."," Net earnings by place of residence","Thousands of dollars",351179,336597,337503,356817,358022,359260,362646,369661,346665,355009,374996,377479,381597,397425,416728,424304,442178
 "45001" ,"Abbeville, SC",5,CAINC30,50,"..."," Personal current transfer receipts","Thousands of dollars",178905,157301,129040,142872,152880,169025,177061,202287,225689,236600,231940,224687,232116,239688,251202,258020,266018
 "45001" ,"Abbeville, SC",5,CAINC30,60,"...","  Income maintenance benefits 1/","Thousands of dollars",10654,13013,13920,15095,17556,18222,18448,19964,24338,26599,26493,25463,25554,23252,22956,22011,21122
 "45001" ,"Abbeville, SC",5,CAINC30,70,"...","  Unemployment insurance compensation","Thousands of dollars",3179,4613,4415,2800,2465,2901,3946,5519,15773,11990,7443,4943,3169,1443,1193,1146,1029
 "45001" ,"Abbeville, SC",5,CAINC30,80,"...","  Retirement and other","Thousands of dollars",165072,139675,110705,124977,132859,147902,154667,176804,185578,198011,198004,194281,203393,214993,227053,234863,243867
 "45001" ,"Abbeville, SC",5,CAINC30,90,"..."," Dividends, interest, and rent 2/","Thousands of dollars",80798,72523,69018,71078,70740,76181,86174,88837,85965,82595,87213,87223,88317,94445,99158,103308,108724
 "45001" ,"Abbeville, SC",5,CAINC30,100,"..."," Population (persons) 3/","Number of persons",26330,26311,26306,26235,25995,25821,25745,25699,25614,25328,25082,25019,24901,24800,24802,24717,24722
 "45001" ,"Abbeville, SC",5,CAINC30,110,"..."," Per capita personal income 4/","Dollars",23201,21528,20359,21756,22375,23410,24311,25712,25702,26619,27675,27555,28193,29498,30928,31785,33044
 "45001" ,"Abbeville, SC",5,CAINC30,120,"..."," Per capita net earnings 4/","Dollars",13338,12793,12830,13601,13773,13913,14086,14384,13534,14016,14951,15088,15325,16025,16802,17166,17886
 "45001" ,"Abbeville, SC",5,CAINC30,130,"..."," Per capita personal current transfer receipts 4/","Dollars",6795,5979,4905,5446,5881,6546,6877,7871,8811,9341,9247,8981,9322,9665,10128,10439,10760
 "45001" ,"Abbeville, SC",5,CAINC30,140,"...","  Per capita income maintenance benefits 4/","Dollars",405,495,529,575,675,706,717,777,950,1050,1056,1018,1026,938,926,891,854
 "45001" ,"Abbeville, SC",5,CAINC30,150,"...","  Per capita unemployment insurance compensation 4/","Dollars",121,175,168,107,95,112,153,215,616,473,297,198,127,58,48,46,42
 "45001" ,"Abbeville, SC",5,CAINC30,160,"...","  Per capita retirement and other 4/","Dollars",6269,5309,4208,4764,5111,5728,6008,6880,7245,7818,7894,7765,8168,8669,9155,9502,9864
 "45001" ,"Abbeville, SC",5,CAINC30,170,"..."," Per capita dividends, interest, and rent 4/","Dollars",3069,2756,2624,2709,2721,2950,3347,3457,3356,3261,3477,3486,3547,3808,3998,4180,4398
 "45001" ,"Abbeville, SC",5,CAINC30,180,"..."," Earnings by place of work","Thousands of dollars",323687,298690,290116,303060,307189,306150,297454,296363,277741,285093,290912,300664,307141,321996,330262,341158,355178
 "45001" ,"Abbeville, SC",5,CAINC30,190,"...","  Wages and salaries","Thousands of dollars",238058,217758,205859,215649,221604,221642,212090,210850,193310,194015,193200,199317,203658,211827,214770,223906,230850
 "45001" ,"Abbeville, SC",5,CAINC30,200,"...","  Supplements to wages and salaries","Thousands of dollars",57689,52403,52829,54983,57619,58577,59724,62170,55175,54730,58231,57655,60569,64511,66047,66676,68362
 "45001" ,"Abbeville, SC",5,CAINC30,201,"...","   Employer contributions for employee pension and insurance funds 5/","Thousands of dollars",37317,33992,35170,36635,38960,39728,42294,44928,39236,38959,41817,40952,43834,47458,48572,48720,49978
 "45001" ,"Abbeville, SC",5,CAINC30,202,"...","   Employer contributions for government social insurance","Thousands of dollars",20372,18411,17659,18348,18659,18849,17430,17242,15939,15771,16414,16703,16735,17053,17475,17956,18384
 "45001" ,"Abbeville, SC",5,CAINC30,210,"...","  Proprietors' income","Thousands of dollars",27940,28529,31428,32428,27966,25931,25640,23343,29256,36348,39481,43692,42914,45658,49445,50576,55966
 "45001" ,"Abbeville, SC",5,CAINC30,220,"...","   Farm proprietors' income","Thousands of dollars",1629,-610,3020,4668,6987,3879,2044,-777,1794,1511,2699,2371,4733,5137,4401,2333,1274
 "45001" ,"Abbeville, SC",5,CAINC30,230,"...","   Nonfarm proprietors' income","Thousands of dollars",26311,29139,28408,27760,20979,22052,23596,24120,27462,34837,36782,41321,38181,40521,45044,48243,54692
