GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
 "46000" ,"South Dakota",4,CAINC30,10,"...","Personal income (thousands of dollars)","Thousands of dollars",20982544,21003482,22919639,24593233,26055070,27503880,30539774,32632754,31681752,33512286,36635975,37522187,37990711,39823286,41550298,41788577,42455313
 "46000" ,"South Dakota",4,CAINC30,45,"..."," Net earnings by place of residence","Thousands of dollars",13039643,13010956,14593069,15912344,16791223,17257828,19156575,20230606,19773065,21058167,23517983,23679225,24481940,25191211,25926255,25633225,25616794
 "46000" ,"South Dakota",4,CAINC30,50,"..."," Personal current transfer receipts","Thousands of dollars",2873731,3065196,3164636,3337488,3573345,3881604,4161118,4734583,4978208,5378165,5470445,5475875,5605765,5841523,6085693,6343106,6536097
 "46000" ,"South Dakota",4,CAINC30,60,"...","  Income maintenance benefits 1/","Thousands of dollars",209835,231318,257276,275680,301956,313523,353196,374762,451315,525684,538351,532353,545314,542699,538709,535134,526639
 "46000" ,"South Dakota",4,CAINC30,70,"...","  Unemployment insurance compensation","Thousands of dollars",22918,36262,39065,33288,29297,26519,24717,31930,86850,85902,61390,49376,40206,31804,31318,34278,33472
 "46000" ,"South Dakota",4,CAINC30,80,"...","  Retirement and other","Thousands of dollars",2640978,2797616,2868295,3028520,3242092,3541562,3783205,4327891,4440043,4766579,4870704,4894146,5020245,5267020,5515666,5773694,5975986
 "46000" ,"South Dakota",4,CAINC30,90,"..."," Dividends, interest, and rent 2/","Thousands of dollars",5069170,4927330,5161934,5343401,5690502,6364448,7222081,7667565,6930479,7075954,7647547,8367087,7903006,8790552,9538350,9812246,10302422
 "46000" ,"South Dakota",4,CAINC30,100,"..."," Population (persons) 3/","Number of persons",757972,760020,763729,770396,775493,783033,791623,799124,807067,816227,823338,832576,842513,849455,854036,861542,869666
 "46000" ,"South Dakota",4,CAINC30,110,"..."," Per capita personal income 4/","Dollars",27682,27635,30010,31923,33598,35125,38579,40836,39255,41058,44497,45068,45092,46881,48652,48504,48818
 "46000" ,"South Dakota",4,CAINC30,120,"..."," Per capita net earnings 4/","Dollars",17203,17119,19108,20655,21652,22040,24199,25316,24500,25799,28564,28441,29058,29656,30357,29753,29456
 "46000" ,"South Dakota",4,CAINC30,130,"..."," Per capita personal current transfer receipts 4/","Dollars",3791,4033,4144,4332,4608,4957,5256,5925,6168,6589,6644,6577,6654,6877,7126,7363,7516
 "46000" ,"South Dakota",4,CAINC30,140,"...","  Per capita income maintenance benefits 4/","Dollars",277,304,337,358,389,400,446,469,559,644,654,639,647,639,631,621,606
 "46000" ,"South Dakota",4,CAINC30,150,"...","  Per capita unemployment insurance compensation 4/","Dollars",30,48,51,43,38,34,31,40,108,105,75,59,48,37,37,40,38
 "46000" ,"South Dakota",4,CAINC30,160,"...","  Per capita retirement and other 4/","Dollars",3484,3681,3756,3931,4181,4523,4779,5416,5501,5840,5916,5878,5959,6200,6458,6702,6872
