GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
 "47000" ,"Tennessee",5,CAINC30,10,"...","Personal income (thousands of dollars)","Thousands of dollars",159459938,164012570,170680041,180733335,188857550,201170663,211070970,218783305,217319201,227763359,241769012,254405967,256705809,267989304,282149885,292119668,305690612
 "47000" ,"Tennessee",5,CAINC30,45,"..."," Net earnings by place of residence","Thousands of dollars",109138064,113053319,117535097,125201811,130291736,138026058,141564126,142694210,140516044,145837655,156163483,165591799,167543802,175066146,183811509,190803522,200435293
 "47000" ,"Tennessee",5,CAINC30,50,"..."," Personal current transfer receipts","Thousands of dollars",25290271,27125910,28791342,30623811,32764028,34598213,38039985,42771646,46019897,50410526,51386177,51888588,53427602,54329153,57180436,58561577,60245851
 "47000" ,"Tennessee",5,CAINC30,60,"...","  Income maintenance benefits 1/","Thousands of dollars",2437908,2854868,3112331,3332022,3687881,3889213,4361934,4661805,5657373,6236999,6357483,6459036,6527517,6350736,6217235,6038868,5936446
 "47000" ,"Tennessee",5,CAINC30,70,"...","  Unemployment insurance compensation","Thousands of dollars",605775,811909,775133,539218,470942,455751,489212,739356,1913926,1712059,1623401,941847,664326,375704,320105,258596,235938
 "47000" ,"Tennessee",5,CAINC30,80,"...","  Retirement and other","Thousands of dollars",22246588,23459133,24903878,26752571,28605205,30253249,33188839,37370485,38448598,42461468,43405293,44487705,46235759,47602713,50643096,52264113,54073467
 "47000" ,"Tennessee",5,CAINC30,90,"..."," Dividends, interest, and rent 2/","Thousands of dollars",25031603,23833341,24353602,24907713,25801786,28546392,31466859,33317449,30783260,31515178,34219352,36925580,35734405,38594005,41157940,42754569,45009468
 "47000" ,"Tennessee",5,CAINC30,100,"..."," Population (persons) 3/","Number of persons",5750789,5795918,5847812,5910809,5991057,6088766,6175727,6247411,6306019,6355882,6396281,6450632,6490795,6540007,6590726,6649404,6715984
 "47000" ,"Tennessee",5,CAINC30,110,"..."," Per capita personal income 4/","Dollars",27728,28298,29187,30577,31523,33040,34178,35020,34462,35835,37798,39439,39549,40977,42810,43932,45517
 "47000" ,"Tennessee",5,CAINC30,120,"..."," Per capita net earnings 4/","Dollars",18978,19506,20099,21182,21748,22669,22923,22841,22283,22945,24415,25671,25813,26768,27889,28695,29845
 "47000" ,"Tennessee",5,CAINC30,130,"..."," Per capita personal current transfer receipts 4/","Dollars",4398,4680,4923,5181,5469,5682,6160,6846,7298,7931,8034,8044,8231,8307,8676,8807,8971
 "47000" ,"Tennessee",5,CAINC30,140,"...","  Per capita income maintenance benefits 4/","Dollars",424,493,532,564,616,639,706,746,897,981,994,1001,1006,971,943,908,884
 "47000" ,"Tennessee",5,CAINC30,150,"...","  Per capita unemployment insurance compensation 4/","Dollars",105,140,133,91,79,75,79,118,304,269,254,146,102,57,49,39,35
 "47000" ,"Tennessee",5,CAINC30,160,"...","  Per capita retirement and other 4/","Dollars",3868,4048,4259,4526,4775,4969,5374,5982,6097,6681,6786,6897,7123,7279,7684,7860,8051
 "47000" ,"Tennessee",5,CAINC30,170,"..."," Per capita dividends, interest, and rent 4/","Dollars",4353,4112,4165,4214,4307,4688,5095,5333,4882,4958,5350,5724,5505,5901,6245,6430,6702
 "47000" ,"Tennessee",5,CAINC30,180,"..."," Earnings by place of work","Thousands of dollars",124037951,128553375,133545969,142097921,147634582,156155731,160574890,162062976,159122867,164567866,173600576,183863459,188638547,196869308,206789769,215030624,226082463
 "47000" ,"Tennessee",5,CAINC30,190,"...","  Wages and salaries","Thousands of dollars",86150248,88371883,91357612,96727527,100725381,107003912,111984284,113679172,107955297,111157095,115350719,121832599,124031573,129820265,137409863,142629980,148899397
 "47000" ,"Tennessee",5,CAINC30,200,"...","  Supplements to wages and salaries","Thousands of dollars",18906719,19859202,21520445,23024518,24191086,24120489,25358034,26295282,25280617,25200495,26346792,28777542,29511672,29463613,30170716,32241232,33768533
 "47000" ,"Tennessee",5,CAINC30,201,"...","   Employer contributions for employee pension and insurance funds 5/","Thousands of dollars",12609993,13286311,14683853,15861089,16864721,16533982,17475454,18176068,17225594,16990623,17802050,19959509,20615846,20432689,20658485,22454583,23473338
 "47000" ,"Tennessee",5,CAINC30,202,"...","   Employer contributions for government social insurance","Thousands of dollars",6296726,6572891,6836592,7163429,7326365,7586507,7882580,8119214,8055023,8209872,8544742,8818033,8895826,9030924,9512231,9786649,10295195
 "47000" ,"Tennessee",5,CAINC30,210,"...","  Proprietors' income","Thousands of dollars",18980984,20322290,20667912,22345876,22718115,25031330,23232572,22088522,25886953,28210276,31903065,33253318,35095302,37585430,39209190,40159412,43414533
 "47000" ,"Tennessee",5,CAINC30,220,"...","   Farm proprietors' income","Thousands of dollars",296639,-102623,-13681,174017,374107,84273,-341302,17101,102126,-88644,337029,96098,775519,130032,15488,-352595,-316515
 "47000" ,"Tennessee",5,CAINC30,230,"...","   Nonfarm proprietors' income","Thousands of dollars",18684345,20424913,20681593,22171859,22344008,24947057,23573874,22071421,25784827,28298920,31566036,33157220,34319783,37455398,39193702,40512007,43731048
 "47000" ,"Tennessee",5,CAINC30,240,"...","Total employment (number of jobs)","Number of jobs",3421028,3408733,3433441,3507914,3572052,3643562,3702452,3677072,3523861,3515804,3589041,3635195,3688630,3770835,3856333,3946960,4003653
 "47000" ,"Tennessee",5,CAINC30,250,"..."," Wage and salary employment","Number of jobs",2781665,2762428,2764842,2812871,2843584,2888427,2903666,2880821,2716243,2709735,2754090,2806427,2846413,2903868,2974822,3039254,3081388
 "47000" ,"Tennessee",5,CAINC30,260,"..."," Proprietors employment","Number of jobs",639363,646305,668599,695043,728468,755135,798786,796251,807618,806069,834951,828768,842217,866967,881511,907706,922265
 "47000" ,"Tennessee",5,CAINC30,270,"...","  Farm proprietors employment 6/","Number of jobs",92450,84446,81777,78300,76713,73625,71880,69900,68163,66598,64970,62235,62627,62016,61818,61097,60442
 "47000" ,"Tennessee",5,CAINC30,280,"...","  Nonfarm proprietors employment","Number of jobs",546913,561859,586822,616743,651755,681510,726906,726351,739455,739471,769981,766533,779590,804951,819693,846609,861823
 "47000" ,"Tennessee",5,CAINC30,290,"...","Average earnings per job (dollars)","Dollars",36258,37713,38896,40508,41330,42858,43370,44074,45156,46808,48370,50579,51141,52208,53623,54480,56469
 "47000" ,"Tennessee",5,CAINC30,300,"..."," Average wages and salaries","Dollars",30971,31991,33043,34387,35422,37046,38567,39461,39744,41021,41883,43412,43575,44706,46191,46929,48322
 "47000" ,"Tennessee",5,CAINC30,310,"..."," Average nonfarm proprietors' income","Dollars",34163,36352,35243,35950,34283,36606,32430,30387,34870,38269,40996,43256,44023,46531,47815,47852,50742
 "47001" ,"Anderson, TN",5,CAINC30,10,"...","Personal income (thousands of dollars)","Thousands of dollars",2028179,2116851,2131564,2136772,2213246,2339147,2443934,2545486,2511837,2597770,2728857,2748286,2728289,2819990,2919184,3014526,3114841
 "47001" ,"Anderson, TN",5,CAINC30,45,"..."," Net earnings by place of residence","Thousands of dollars",1299535,1382473,1383799,1403574,1460467,1534492,1554084,1572110,1529033,1586500,1677822,1688142,1652860,1709347,1762348,1831962,1887519
 "47001" ,"Anderson, TN",5,CAINC30,50,"..."," Personal current transfer receipts","Thousands of dollars",365391,393079,407908,429281,454893,483592,524162,577247,619632,659693,671138,674734,691288,704197,736324,754035,777091
 "47001" ,"Anderson, TN",5,CAINC30,60,"...","  Income maintenance benefits 1/","Thousands of dollars",30001,34481,36401,37308,40956,42898,48174,51135,62226,67644,69126,70342,71149,70199,67458,66578,66186
 "47001" ,"Anderson, TN",5,CAINC30,70,"...","  Unemployment insurance compensation","Thousands of dollars",7427,8557,8549,5623,5108,4757,4940,7200,22324,18767,18538,12565,8329,4269,3683,2827,2590
 "47001" ,"Anderson, TN",5,CAINC30,80,"...","  Retirement and other","Thousands of dollars",327963,350041,362958,386350,408829,435937,471048,518912,535082,573282,583474,591827,611810,629729,665183,684630,708315
 "47001" ,"Anderson, TN",5,CAINC30,90,"..."," Dividends, interest, and rent 2/","Thousands of dollars",363253,341299,339857,303917,297886,321063,365688,396129,363172,351577,379897,385410,384141,406446,420512,428529,450231
 "47001" ,"Anderson, TN",5,CAINC30,100,"..."," Population (persons) 3/","Number of persons",71461,71515,71608,71587,72040,73117,73580,74397,75031,75112,75173,75196,75258,75131,75459,75585,76257
 "47001" ,"Anderson, TN",5,CAINC30,110,"..."," Per capita personal income 4/","Dollars",28382,29600,29767,29849,30722,31992,33215,34215,33477,34585,36301,36548,36252,37534,38686,39883,40847
 "47001" ,"Anderson, TN",5,CAINC30,120,"..."," Per capita net earnings 4/","Dollars",18185,19331,19325,19607,20273,20987,21121,21131,20379,21122,22319,22450,21963,22752,23355,24237,24752
 "47001" ,"Anderson, TN",5,CAINC30,130,"..."," Per capita personal current transfer receipts 4/","Dollars",5113,5496,5696,5997,6314,6614,7124,7759,8258,8783,8928,8973,9186,9373,9758,9976,10190
 "47001" ,"Anderson, TN",5,CAINC30,140,"...","  Per capita income maintenance benefits 4/","Dollars",420,482,508,521,569,587,655,687,829,901,920,935,945,934,894,881,868
 "47001" ,"Anderson, TN",5,CAINC30,150,"...","  Per capita unemployment insurance compensation 4/","Dollars",104,120,119,79,71,65,67,97,298,250,247,167,111,57,49,37,34
 "47001" ,"Anderson, TN",5,CAINC30,160,"...","  Per capita retirement and other 4/","Dollars",4589,4895,5069,5397,5675,5962,6402,6975,7131,7632,7762,7870,8130,8382,8815,9058,9289
 "47001" ,"Anderson, TN",5,CAINC30,170,"..."," Per capita dividends, interest, and rent 4/","Dollars",5083,4772,4746,4245,4135,4391,4970,5325,4840,4681,5054,5125,5104,5410,5573,5669,5904
 "47001" ,"Anderson, TN",5,CAINC30,180,"..."," Earnings by place of work","Thousands of dollars",2017306,2148103,2210976,2210277,2260829,2371832,2360606,2427653,2399947,2667382,2819839,2802567,2823277,2905991,2902005,3022450,3115974
 "47001" ,"Anderson, TN",5,CAINC30,190,"...","  Wages and salaries","Thousands of dollars",1426343,1493990,1579132,1608492,1635374,1718339,1722080,1800347,1772224,1994330,2094578,2074367,2107907,2178719,2174816,2254117,2322029
 "47001" ,"Anderson, TN",5,CAINC30,200,"...","  Supplements to wages and salaries","Thousands of dollars",294485,313311,345554,353705,366504,364677,369194,394297,387485,408999,433689,451300,461936,451841,447528,473512,494617
 "47001" ,"Anderson, TN",5,CAINC30,201,"...","   Employer contributions for employee pension and insurance funds 5/","Thousands of dollars",191428,203063,226362,232884,246703,241929,247487,264992,254678,259904,277402,298673,307193,298991,294393,317790,334704
 "47001" ,"Anderson, TN",5,CAINC30,202,"...","   Employer contributions for government social insurance","Thousands of dollars",103057,110248,119192,120821,119801,122748,121707,129305,132807,149095,156287,152627,154743,152850,153135,155722,159913
 "47001" ,"Anderson, TN",5,CAINC30,210,"...","  Proprietors' income","Thousands of dollars",296478,340802,286290,248080,258951,288816,269332,233009,240238,264053,291572,276900,253434,275431,279661,294821,299328
 "47001" ,"Anderson, TN",5,CAINC30,220,"...","   Farm proprietors' income","Thousands of dollars",-66,-414,-958,-1267,-1372,-2071,-3140,-3262,-2881,-2854,-3052,-3455,-3030,-3332,-2873,-3718,-4074
 "47001" ,"Anderson, TN",5,CAINC30,230,"...","   Nonfarm proprietors' income","Thousands of dollars",296544,341216,287248,249347,260323,290887,272472,236271,243119,266907,294624,280355,256464,278763,282534,298539,303402
 "47001" ,"Anderson, TN",5,CAINC30,240,"...","Total employment (number of jobs)","Number of jobs",47033,46883,47712,47367,47860,48120,47472,48098,46358,48435,49897,48600,48884,49095,48427,49364,49855
 "47001" ,"Anderson, TN",5,CAINC30,250,"..."," Wage and salary employment","Number of jobs",39988,39715,40429,39790,39901,39924,39019,39718,38014,40407,41851,40830,41154,41344,40622,41520,41883
 "47001" ,"Anderson, TN",5,CAINC30,260,"..."," Proprietors employment","Number of jobs",7045,7168,7283,7577,7959,8196,8453,8380,8344,8028,8046,7770,7730,7751,7805,7844,7972
 "47001" ,"Anderson, TN",5,CAINC30,270,"...","  Farm proprietors employment 6/","Number of jobs",613,570,554,528,519,498,487,467,452,437,421,399,400,396,393,388,384
 "47001" ,"Anderson, TN",5,CAINC30,280,"...","  Nonfarm proprietors employment","Number of jobs",6432,6598,6729,7049,7440,7698,7966,7913,7892,7591,7625,7371,7330,7355,7412,7456,7588
 "47001" ,"Anderson, TN",5,CAINC30,290,"...","Average earnings per job (dollars)","Dollars",42891,45818,46340,46663,47238,49290,49726,50473,51770,55071,56513,57666,57755,59191,59925,61228,62501
 "47001" ,"Anderson, TN",5,CAINC30,300,"..."," Average wages and salaries","Dollars",35669,37618,39059,40425,40986,43040,44134,45328,46620,49356,50048,50805,51220,52697,53538,54290,55441
 "47001" ,"Anderson, TN",5,CAINC30,310,"..."," Average nonfarm proprietors' income","Dollars",46104,51715,42688,35373,34990,37787,34204,29859,30806,35161,38639,38035,34988,37901,38118,40040,39984
 "47003" ,"Bedford, TN",5,CAINC30,10,"...","Personal income (thousands of dollars)","Thousands of dollars",928042,934799,985973,1065106,1122928,1181336,1226627,1245573,1218771,1253647,1332988,1397336,1461004,1559619,1608572,1671844,1752772
 "47003" ,"Bedford, TN",5,CAINC30,45,"..."," Net earnings by place of residence","Thousands of dollars",635500,650014,688443,741974,779151,806555,802437,782044,723138,733666,788840,848779,903117,975558,992738,1042602,1101923
 "47003" ,"Bedford, TN",5,CAINC30,50,"..."," Personal current transfer receipts","Thousands of dollars",156806,165351,180564,193014,208566,225443,252249,283786,317816,344835,348548,350263,354590,367018,387135,397596,408285
 "47003" ,"Bedford, TN",5,CAINC30,60,"...","  Income maintenance benefits 1/","Thousands of dollars",13182,16106,18336,20806,23515,26687,31449,34559,43696,48233,49121,50576,50447,50183,48875,47855,46009
 "47003" ,"Bedford, TN",5,CAINC30,70,"...","  Unemployment insurance compensation","Thousands of dollars",4555,5641,6457,3608,3229,3142,4517,5638,21136,17859,13169,7972,4795,2810,2489,1532,1585
 "47003" ,"Bedford, TN",5,CAINC30,80,"...","  Retirement and other","Thousands of dollars",139069,143604,155771,168600,181822,195614,216283,243589,252984,278743,286258,291715,299348,314025,335771,348209,360691
 "47003" ,"Bedford, TN",5,CAINC30,90,"..."," Dividends, interest, and rent 2/","Thousands of dollars",135736,119434,116966,130118,135211,149338,171941,179743,177817,175146,195600,198294,203297,217043,228699,231646,242564
 "47003" ,"Bedford, TN",5,CAINC30,100,"..."," Population (persons) 3/","Number of persons",38414,38960,39697,40558,41616,42780,43678,44395,44845,45086,45227,45262,45584,46259,46892,47420,48117
 "47003" ,"Bedford, TN",5,CAINC30,110,"..."," Per capita personal income 4/","Dollars",24159,23994,24837,26261,26983,27614,28083,28057,27177,27806,29473,30872,32051,33715,34304,35256,36427
 "47003" ,"Bedford, TN",5,CAINC30,120,"..."," Per capita net earnings 4/","Dollars",16543,16684,17342,18294,18722,18854,18372,17616,16125,16273,17442,18753,19812,21089,21171,21987,22901
 "47003" ,"Bedford, TN",5,CAINC30,130,"..."," Per capita personal current transfer receipts 4/","Dollars",4082,4244,4549,4759,5012,5270,5775,6392,7087,7648,7707,7739,7779,7934,8256,8385,8485
 "47003" ,"Bedford, TN",5,CAINC30,140,"...","  Per capita income maintenance benefits 4/","Dollars",343,413,462,513,565,624,720,778,974,1070,1086,1117,1107,1085,1042,1009,956
 "47003" ,"Bedford, TN",5,CAINC30,150,"...","  Per capita unemployment insurance compensation 4/","Dollars",119,145,163,89,78,73,103,127,471,396,291,176,105,61,53,32,33
 "47003" ,"Bedford, TN",5,CAINC30,160,"...","  Per capita retirement and other 4/","Dollars",3620,3686,3924,4157,4369,4573,4952,5487,5641,6182,6329,6445,6567,6788,7161,7343,7496
 "47003" ,"Bedford, TN",5,CAINC30,170,"..."," Per capita dividends, interest, and rent 4/","Dollars",3534,3066,2946,3208,3249,3491,3937,4049,3965,3885,4325,4381,4460,4692,4877,4885,5041
 "47003" ,"Bedford, TN",5,CAINC30,180,"..."," Earnings by place of work","Thousands of dollars",626254,640491,692938,770024,823992,864278,886762,876650,834408,868086,908526,954625,1025923,1079437,1119304,1142346,1099926
 "47003" ,"Bedford, TN",5,CAINC30,190,"...","  Wages and salaries","Thousands of dollars",416138,435413,469645,510113,534997,575564,600983,599391,568650,590994,606127,627059,657168,704908,737792,765603,723624
 "47003" ,"Bedford, TN",5,CAINC30,200,"...","  Supplements to wages and salaries","Thousands of dollars",103155,110238,126018,138704,149741,150013,160383,164186,154060,154662,158942,174922,186997,189406,192856,203748,190031
