GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
 "55000" ,"Wisconsin",3,CAINC30,10,"...","Personal income (thousands of dollars)","Thousands of dollars",166810412,171173593,175869838,183912501,190527609,202454049,211886571,219514508,215913287,221895293,234574850,245700352,247127445,257572422,268237980,273787486,283635828
 "55000" ,"Wisconsin",3,CAINC30,45,"..."," Net earnings by place of residence","Thousands of dollars",114128034,118182363,121968118,128299089,132001472,137755420,142564069,144904274,139756804,143210882,152925934,159171738,161127430,166513067,171888365,175257503,180944314
 "55000" ,"Wisconsin",3,CAINC30,50,"..."," Personal current transfer receipts","Thousands of dollars",21529002,23165806,23852549,24553682,26308987,27911840,30241402,33866925,39176397,42049365,40653318,41417629,42370793,44132147,45952570,46545871,48659184
 "55000" ,"Wisconsin",3,CAINC30,60,"...","  Income maintenance benefits 1/","Thousands of dollars",1638593,1747418,1975482,2125412,2307827,2442424,2688724,2842259,3362671,3769138,3892678,3914535,4044137,4062206,3941048,3743087,3755625
 "55000" ,"Wisconsin",3,CAINC30,70,"...","  Unemployment insurance compensation","Thousands of dollars",814730,1179148,1180218,897153,818473,811490,907247,1220595,2936217,2879740,2072571,1588389,1238608,683222,566223,476655,418330
 "55000" ,"Wisconsin",3,CAINC30,80,"...","  Retirement and other","Thousands of dollars",19075679,20239240,20696849,21531117,23182687,24657926,26645431,29804071,32877509,35400487,34688069,35914705,37088048,39386719,41445299,42326129,44485229
 "55000" ,"Wisconsin",3,CAINC30,90,"..."," Dividends, interest, and rent 2/","Thousands of dollars",31153376,29825424,30049171,31059730,32217150,36786789,39081100,40743309,36980086,36635046,40995598,45110985,43629222,46927208,50397045,51984112,54032330
 "55000" ,"Wisconsin",3,CAINC30,100,"..."," Population (persons) 3/","Number of persons",5406835,5445162,5479203,5514026,5546166,5577655,5610775,5640996,5669264,5690403,5705812,5721075,5736673,5751272,5759744,5772917,5795483
 "55000" ,"Wisconsin",3,CAINC30,110,"..."," Per capita personal income 4/","Dollars",30852,31436,32098,33354,34353,36297,37764,38914,38085,38995,41112,42947,43079,44785,46571,47426,48941
 "55000" ,"Wisconsin",3,CAINC30,120,"..."," Per capita net earnings 4/","Dollars",21108,21704,22260,23268,23800,24698,25409,25688,24652,25167,26802,27822,28087,28952,29843,30359,31222
 "55000" ,"Wisconsin",3,CAINC30,130,"..."," Per capita personal current transfer receipts 4/","Dollars",3982,4254,4353,4453,4744,5004,5390,6004,6910,7390,7125,7239,7386,7673,7978,8063,8396
 "55000" ,"Wisconsin",3,CAINC30,140,"...","  Per capita income maintenance benefits 4/","Dollars",303,321,361,385,416,438,479,504,593,662,682,684,705,706,684,648,648
 "55000" ,"Wisconsin",3,CAINC30,150,"...","  Per capita unemployment insurance compensation 4/","Dollars",151,217,215,163,148,145,162,216,518,506,363,278,216,119,98,83,72
 "55000" ,"Wisconsin",3,CAINC30,160,"...","  Per capita retirement and other 4/","Dollars",3528,3717,3777,3905,4180,4421,4749,5283,5799,6221,6079,6278,6465,6848,7196,7332,7676
 "55000" ,"Wisconsin",3,CAINC30,170,"..."," Per capita dividends, interest, and rent 4/","Dollars",5762,5477,5484,5633,5809,6595,6965,7223,6523,6438,7185,7885,7605,8159,8750,9005,9323
 "55000" ,"Wisconsin",3,CAINC30,180,"..."," Earnings by place of work","Thousands of dollars",125490544,129847371,134041006,141069133,145223260,151738662,156864310,159728451,154493393,158381597,166803160,173641652,178415770,184202963,190152732,193823625,200250267
 "55000" ,"Wisconsin",3,CAINC30,190,"...","  Wages and salaries","Thousands of dollars",90654202,93014858,96055554,100922657,103843620,108705179,113107377,115994305,110606812,112410739,116879505,121213348,124683037,129391238,135130699,138667841,143412279
 "55000" ,"Wisconsin",3,CAINC30,200,"...","  Supplements to wages and salaries","Thousands of dollars",22923183,23998136,25317435,26924278,28282220,29037529,30126453,31153087,32239626,31722577,33309622,34206524,34758532,35393215,35197784,36443705,37759522
 "55000" ,"Wisconsin",3,CAINC30,201,"...","   Employer contributions for employee pension and insurance funds 5/","Thousands of dollars",15972481,16908645,17977225,19187762,20252675,20651623,21546004,22284881,23608266,22835589,23892967,24483467,24778127,25168944,24655085,25876327,26881342
 "55000" ,"Wisconsin",3,CAINC30,202,"...","   Employer contributions for government social insurance","Thousands of dollars",6950702,7089491,7340210,7736516,8029545,8385906,8580449,8868206,8631360,8886988,9416655,9723057,9980405,10224271,10542699,10567378,10878180
 "55000" ,"Wisconsin",3,CAINC30,210,"...","  Proprietors' income","Thousands of dollars",11913159,12834377,12668017,13222198,13097420,13995954,13630480,12581059,11646955,14248281,16614033,18221780,18974201,19418510,19824249,18712079,19078466
 "55000" ,"Wisconsin",3,CAINC30,220,"...","   Farm proprietors' income","Thousands of dollars",532108,400244,892533,1172765,974358,713918,1204496,809637,-5220,968188,2173353,1805475,2128343,2062421,1956715,927858,737294
 "55000" ,"Wisconsin",3,CAINC30,230,"...","   Nonfarm proprietors' income","Thousands of dollars",11381051,12434133,11775484,12049433,12123062,13282036,12425984,11771422,11652175,13280093,14440680,16416305,16845858,17356089,17867534,17784221,18341172
 "55000" ,"Wisconsin",3,CAINC30,240,"...","Total employment (number of jobs)","Number of jobs",3403719,3395166,3413403,3467801,3511432,3546975,3585396,3572922,3444622,3426438,3474418,3499405,3539937,3587122,3626124,3660276,3691630
 "55000" ,"Wisconsin",3,CAINC30,250,"..."," Wage and salary employment","Number of jobs",2871629,2848560,2852564,2880833,2899476,2921871,2934229,2924558,2791743,2780923,2809126,2840826,2874503,2912213,2945464,2980084,3000006
 "55000" ,"Wisconsin",3,CAINC30,260,"..."," Proprietors employment","Number of jobs",532090,546606,560839,586968,611956,625104,651167,648364,652879,645515,665292,658579,665434,674909,680660,680192,691624
 "55000" ,"Wisconsin",3,CAINC30,270,"...","  Farm proprietors employment 6/","Number of jobs",78867,76821,73309,71490,71096,69088,70669,68886,67507,66504,65026,63259,63991,63294,63486,63234,63035
 "55000" ,"Wisconsin",3,CAINC30,280,"...","  Nonfarm proprietors employment","Number of jobs",453223,469785,487530,515478,540860,556016,580498,579478,585372,579011,600266,595320,601443,611615,617174,616958,628589
