GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
 "54000" ,"West Virginia",5,CAINC30,10,"...","Personal income (thousands of dollars)","Thousands of dollars",42849799,44286601,44871402,46485544,48840352,52178763,54198610,57652410,58149798,60061547,63448690,65251759,64792619,66679676,67736679,67582876,69872741
 "54000" ,"West Virginia",5,CAINC30,45,"..."," Net earnings by place of residence","Thousands of dollars",25317367,26176351,26729375,28264516,30041535,31977067,32526819,34050601,33708584,34897645,37379121,38253459,37852395,38446806,38437864,37674075,39023418
 "54000" ,"West Virginia",5,CAINC30,50,"..."," Personal current transfer receipts","Thousands of dollars",10261082,11086843,11361032,11359387,11794805,12600606,13330717,14788644,15965132,16841063,16972077,17299032,17638064,18424093,19129788,19542180,20080672
 "54000" ,"West Virginia",5,CAINC30,60,"...","  Income maintenance benefits 1/","Thousands of dollars",959219,1010944,1051677,1095730,1112903,1189567,1230272,1319404,1592732,1750825,1718208,1713223,1726403,1727705,1727011,1743158,1714253
 "54000" ,"West Virginia",5,CAINC30,70,"...","  Unemployment insurance compensation","Thousands of dollars",144793,230086,257060,187533,174611,164570,183575,227327,519828,523412,409987,391560,353046,223352,244856,259062,158767
 "54000" ,"West Virginia",5,CAINC30,80,"...","  Retirement and other","Thousands of dollars",9157070,9845813,10052295,10076124,10507291,11246469,11916870,13241913,13852572,14566826,14843882,15194249,15558615,16473036,17157921,17539960,18207652
 "54000" ,"West Virginia",5,CAINC30,90,"..."," Dividends, interest, and rent 2/","Thousands of dollars",7271350,7023407,6780995,6861641,7004012,7601090,8341074,8813165,8476082,8322839,9097492,9699268,9302160,9808777,10169027,10366621,10768651
 "54000" ,"West Virginia",5,CAINC30,100,"..."," Population (persons) 3/","Number of persons",1801481,1805414,1812295,1816438,1820492,1827912,1834052,1840310,1847775,1854315,1854891,1855360,1852333,1847624,1839767,1828637,1815857
 "54000" ,"West Virginia",5,CAINC30,110,"..."," Per capita personal income 4/","Dollars",23786,24530,24759,25592,26828,28546,29551,31328,31470,32390,34206,35169,34979,36089,36818,36958,38479
 "54000" ,"West Virginia",5,CAINC30,120,"..."," Per capita net earnings 4/","Dollars",14054,14499,14749,15560,16502,17494,17735,18503,18243,18820,20152,20618,20435,20809,20893,20602,21490
 "54000" ,"West Virginia",5,CAINC30,130,"..."," Per capita personal current transfer receipts 4/","Dollars",5696,6141,6269,6254,6479,6893,7268,8036,8640,9082,9150,9324,9522,9972,10398,10687,11059
 "54000" ,"West Virginia",5,CAINC30,140,"...","  Per capita income maintenance benefits 4/","Dollars",532,560,580,603,611,651,671,717,862,944,926,923,932,935,939,953,944
 "54000" ,"West Virginia",5,CAINC30,150,"...","  Per capita unemployment insurance compensation 4/","Dollars",80,127,142,103,96,90,100,124,281,282,221,211,191,121,133,142,87
 "54000" ,"West Virginia",5,CAINC30,160,"...","  Per capita retirement and other 4/","Dollars",5083,5453,5547,5547,5772,6153,6498,7195,7497,7856,8003,8189,8399,8916,9326,9592,10027
 "54000" ,"West Virginia",5,CAINC30,170,"..."," Per capita dividends, interest, and rent 4/","Dollars",4036,3890,3742,3778,3847,4158,4548,4789,4587,4488,4905,5228,5022,5309,5527,5669,5930
 "54000" ,"West Virginia",5,CAINC30,180,"..."," Earnings by place of work","Thousands of dollars",28659645,29420594,30021402,31555657,33323165,35267633,35549381,37155686,36978700,38140579,40292832,41537763,41645125,42171012,42155672,41267076,42867179
 "54000" ,"West Virginia",5,CAINC30,190,"...","  Wages and salaries","Thousands of dollars",19983879,20410261,20809727,21889543,22827556,24138271,25175445,26728096,26703857,27251083,28586785,29436518,29480048,30070990,30236870,29681675,30874732
 "54000" ,"West Virginia",5,CAINC30,200,"...","  Supplements to wages and salaries","Thousands of dollars",5401348,5544964,5887856,6151584,6449534,7017326,6889490,7060234,7011952,7034274,7412642,7891259,7999096,7716515,7868030,7700963,8051428
 "54000" ,"West Virginia",5,CAINC30,201,"...","   Employer contributions for employee pension and insurance funds 5/","Thousands of dollars",3040830,3261362,3493897,3730067,3953580,4606773,4718466,4980912,4888083,4864447,5147732,5554699,5670794,5332798,5456314,5278591,5494562
 "54000" ,"West Virginia",5,CAINC30,202,"...","   Employer contributions for government social insurance","Thousands of dollars",2360518,2283602,2393959,2421517,2495954,2410553,2171024,2079322,2123869,2169827,2264910,2336560,2328302,2383717,2411716,2422372,2556866
 "54000" ,"West Virginia",5,CAINC30,210,"...","  Proprietors' income","Thousands of dollars",3274418,3465369,3323819,3514530,4046075,4112036,3484446,3367356,3262891,3855222,4293405,4209986,4165981,4383507,4050772,3884438,3941019
 "54000" ,"West Virginia",5,CAINC30,220,"...","   Farm proprietors' income","Thousands of dollars",-7948,-74091,-56905,-10516,-21579,-58887,-95663,-65198,-69109,-61083,-20893,-47529,-13782,-28860,-47835,-74852,-119390
 "54000" ,"West Virginia",5,CAINC30,230,"...","   Nonfarm proprietors' income","Thousands of dollars",3282366,3539460,3380724,3525046,4067654,4170923,3580109,3432554,3332000,3916305,4314298,4257515,4179763,4412367,4098607,3959290,4060409
 "54000" ,"West Virginia",5,CAINC30,240,"...","Total employment (number of jobs)","Number of jobs",872546,871233,868331,879293,890779,902935,915669,918366,899038,899472,909035,918927,913619,909962,901911,887107,888984
 "54000" ,"West Virginia",5,CAINC30,250,"..."," Wage and salary employment","Number of jobs",726708,726016,720526,729009,735252,744761,749131,752605,733675,733916,741944,751073,743403,740039,733992,721162,720173
 "54000" ,"West Virginia",5,CAINC30,260,"..."," Proprietors employment","Number of jobs",145838,145217,147805,150284,155527,158174,166538,165761,165363,165556,167091,167854,170216,169923,167919,165945,168811
 "54000" ,"West Virginia",5,CAINC30,270,"...","  Farm proprietors employment 6/","Number of jobs",21560,20014,19660,19265,19417,19513,21780,21036,21197,20609,20221,19677,19708,19627,19147,18847,18660
 "54000" ,"West Virginia",5,CAINC30,280,"...","  Nonfarm proprietors employment","Number of jobs",124278,125203,128145,131019,136110,138661,144758,144725,144166,144947,146870,148177,150508,150296,148772,147098,150151
 "54000" ,"West Virginia",5,CAINC30,290,"...","Average earnings per job (dollars)","Dollars",32846,33769,34574,35888,37409,39059,38823,40458,41131,42403,44325,45202,45583,46344,46740,46519,48220
 "54000" ,"West Virginia",5,CAINC30,300,"..."," Average wages and salaries","Dollars",27499,28113,28881,30026,31047,32411,33606,35514,36397,37131,38530,39193,39656,40634,41195,41158,42871
 "54000" ,"West Virginia",5,CAINC30,310,"..."," Average nonfarm proprietors' income","Dollars",26411,28270,26382,26905,29885,30080,24732,23718,23112,27019,29375,28733,27771,29358,27550,26916,27042
